date,open,high,low,close,volume,is_anomaly,ticker
2021-08-16,12.35,12.35,11.35,12.35,2000,False,SUHJ
2021-08-17,13.35,13.35,13.35,13.35,500,False,SUHJ
2021-08-20,14.35,14.35,14.35,14.35,2500,False,SUHJ
2021-08-23,15.42,15.42,15.42,15.42,6500,False,SUHJ
2021-08-24,16.57,16.57,16.57,16.57,2000,False,SUHJ
2021-08-25,17.81,17.81,17.81,17.81,500,False,SUHJ
2021-08-26,19.14,19.14,19.14,19.14,500,False,SUHJ
2021-08-27,20.57,20.57,20.52,20.55,17000,False,SUHJ
2021-08-30,22.09,22.09,21.98,22.09,20500,False,SUHJ
2021-08-31,0.0,0.0,0.0,23.51,0,True,SUHJ
2021-09-01,25.27,25.27,25.27,25.27,500,False,SUHJ
2021-09-02,0.0,0.0,0.0,27.16,0,True,SUHJ
2021-09-03,29.19,29.19,29.19,29.19,500,False,SUHJ
2021-09-06,31.35,31.35,31.35,31.35,500,False,SUHJ
2021-09-07,33.7,33.7,33.7,33.7,3500,False,SUHJ
2021-09-08,36.2,36.22,36.2,36.22,2500,False,SUHJ
2021-09-09,38.93,38.93,38.93,38.93,1500,False,SUHJ
2021-09-10,41.84,41.84,41.83,41.84,5500,False,SUHJ
2021-09-13,44.97,44.97,44.95,44.95,1000,False,SUHJ
2021-09-14,44.95,44.95,44.95,44.95,500,False,SUHJ
2021-09-16,0.0,0.0,0.0,44.92,0,True,SUHJ
2021-09-20,46.97,46.97,46.97,46.97,500,False,SUHJ
2021-09-21,0.0,0.0,0.0,46.65,0,True,SUHJ
2021-09-22,0.0,0.0,0.0,46.56,0,True,SUHJ
2021-09-23,0.0,0.0,0.0,44.7,0,True,SUHJ
2021-09-24,46.99,46.99,46.99,46.99,500,False,SUHJ
2021-09-27,0.0,0.0,0.0,45.58,0,True,SUHJ
2021-09-28,0.0,0.0,0.0,43.84,0,True,SUHJ
2021-09-30,0.0,0.0,0.0,43.15,0,True,SUHJ
2021-10-01,0.0,0.0,0.0,41.76,0,True,SUHJ
2021-10-04,38.63,38.63,38.63,38.63,500,False,SUHJ
2021-10-05,0.0,0.0,0.0,36.74,0,True,SUHJ
2021-10-06,0.0,0.0,0.0,35.47,0,True,SUHJ
2021-10-07,0.0,0.0,0.0,34.41,0,True,SUHJ
2021-10-08,31.83,31.83,31.83,31.83,12500,False,SUHJ
2021-10-11,29.45,29.45,29.45,29.45,500,False,SUHJ
2021-10-12,0.0,0.0,0.0,29.4,0,True,SUHJ
2021-10-13,27.3,27.3,27.3,27.3,500,False,SUHJ
2021-10-14,25.26,25.26,25.26,25.26,500,False,SUHJ
2021-10-15,24.0,24.0,23.37,23.37,3000,False,SUHJ
2021-10-18,21.62,21.62,21.62,21.62,4500,False,SUHJ
2021-10-20,20.01,23.24,20.0,23.24,9000,False,SUHJ
2021-10-21,24.98,24.98,24.98,24.98,17500,False,SUHJ
2021-10-22,0.0,0.0,0.0,26.85,0,True,SUHJ
2021-10-25,0.0,0.0,0.0,26.85,0,True,SUHJ
2021-10-29,28.86,28.86,28.86,28.86,500,False,SUHJ
2021-11-01,31.02,31.02,31.02,31.02,1500,False,SUHJ
2021-11-02,33.34,33.34,31.02,33.34,3500,False,SUHJ
2021-11-03,35.84,35.84,35.84,35.84,500,False,SUHJ
2021-11-08,38.52,38.52,38.52,38.52,500,False,SUHJ
2021-11-09,41.4,41.4,41.38,41.38,1500,False,SUHJ
2021-11-10,44.4,44.4,44.4,44.4,500,False,SUHJ
2021-11-11,47.73,47.73,47.73,47.73,500,False,SUHJ
2021-11-12,51.3,51.3,51.3,51.3,500,False,SUHJ
2021-11-19,0.0,0.0,0.0,47.46,0,True,SUHJ
2021-11-22,0.0,0.0,0.0,47.46,0,True,SUHJ
2021-11-23,0.0,0.0,0.0,46.27,0,True,SUHJ
2021-11-24,0.0,0.0,0.0,42.8,0,True,SUHJ
2021-11-25,0.0,0.0,0.0,39.59,0,True,SUHJ
2021-11-26,0.0,0.0,0.0,36.63,0,True,SUHJ
2021-11-29,0.0,0.0,0.0,33.89,0,True,SUHJ
2021-12-01,0.0,0.0,0.0,33.68,0,True,SUHJ
2021-12-06,0.0,0.0,0.0,31.15,0,True,SUHJ
2021-12-07,28.82,28.82,28.82,28.82,2500,False,SUHJ
2021-12-08,26.66,26.66,26.66,26.66,5500,False,SUHJ
2021-12-09,24.68,24.68,24.68,24.68,500,False,SUHJ
2021-12-10,22.83,22.83,22.83,22.83,500,False,SUHJ
2021-12-21,0.0,0.0,0.0,24.24,0,True,SUHJ
2021-12-22,0.0,0.0,0.0,25.34,0,True,SUHJ
2021-12-23,27.24,27.24,27.24,27.24,2000,False,SUHJ
2021-12-24,29.28,29.28,29.28,29.28,500,False,SUHJ
2021-12-27,0.0,29.28,29.28,29.28,2500,True,SUHJ
2021-12-28,31.0,31.0,31.0,31.0,500,False,SUHJ
2022-02-07,33.32,33.32,33.32,33.32,500,False,SUHJ
2022-02-17,0.0,0.0,0.0,30.83,0,True,SUHJ
2022-07-04,0.0,0.0,0.0,30.76,0,True,SUHJ
2022-07-19,0.0,0.0,0.0,30.73,0,True,SUHJ
2022-09-12,0.0,0.0,0.0,30.72,0,True,SUHJ
2022-09-15,0.0,0.0,0.0,30.71,0,True,SUHJ
2022-10-04,28.41,28.41,28.41,28.41,500,False,SUHJ
