date,open,high,low,close,volume,is_anomaly,ticker
2021-06-02,37.45,37.5,37.45,37.5,1000,False,SZTM
2021-07-15,0.0,0.0,0.0,40.31,0,True,SZTM
2021-08-02,0.0,0.0,0.0,41.82,0,True,SZTM
2021-09-06,44.9,44.9,44.9,44.9,500,False,SZTM
2021-09-13,0.0,0.0,0.0,48.26,0,True,SZTM
2021-09-17,0.0,0.0,0.0,51.87,0,True,SZTM
2021-10-06,0.0,51.87,51.87,51.87,500,True,SZTM
2021-10-11,0.0,0.0,0.0,51.0,0,True,SZTM
2021-10-25,0.0,0.0,0.0,51.0,0,True,SZTM
2021-10-29,0.0,0.0,0.0,51.0,0,True,SZTM
2021-11-03,0.0,51.0,51.0,51.0,500,True,SZTM
2022-09-26,0.0,0.0,0.0,50.5,0,True,SZTM
2022-10-06,0.0,0.0,0.0,50.49,0,True,SZTM
2022-10-13,0.0,0.0,0.0,50.49,0,True,SZTM
2022-10-24,0.0,50.49,50.49,50.49,500,True,SZTM
2022-10-31,0.0,0.0,0.0,50.0,0,True,SZTM
2023-11-22,0.0,0.0,0.0,48.0,0,True,SZTM
2023-11-23,50.0,50.0,50.0,50.0,500,False,SZTM
2023-12-15,0.0,0.0,0.0,46.25,0,True,SZTM
2024-01-04,0.0,0.0,0.0,45.39,0,True,SZTM
2024-06-04,0.0,0.0,0.0,42.44,0,True,SZTM
2024-06-05,39.04,39.5,39.04,39.22,517,False,SZTM
2024-06-06,36.08,37.0,36.08,39.22,2,True,SZTM
2024-06-07,0.0,0.0,0.0,39.22,1,True,SZTM
2024-07-11,35.51,35.51,35.5,39.22,131,True,SZTM
2024-07-18,35.5,35.5,35.5,35.5,782,False,SZTM
2024-07-22,32.0,32.0,32.0,35.5,327,True,SZTM
2024-08-21,32.01,33.0,31.95,32.33,2305,False,SZTM
2024-08-22,32.33,32.33,30.0,32.33,11,False,SZTM
2024-08-26,29.1,31.99,29.1,31.99,3904,False,SZTM
2024-08-28,29.33,31.99,29.31,31.99,172,False,SZTM
2024-08-29,30.0,31.9,30.0,31.99,225,True,SZTM
2024-08-30,31.0,31.1,31.0,31.99,100,True,SZTM
2024-09-02,31.75,31.75,31.75,31.99,150,True,SZTM
2024-09-03,31.0,31.0,31.0,31.99,10,True,SZTM
2024-09-04,31.99,31.99,31.99,31.99,445,False,SZTM
2024-09-05,31.99,31.99,31.99,31.99,100,False,SZTM
2024-09-06,32.0,32.0,32.0,31.99,50,True,SZTM
2024-09-09,0.0,0.0,0.0,31.99,0,True,SZTM
2024-09-10,0.0,0.0,0.0,31.99,0,True,SZTM
2024-09-11,0.0,0.0,0.0,31.99,0,True,SZTM
2024-09-12,0.0,0.0,0.0,31.99,0,True,SZTM
2024-09-13,31.99,32.1,31.99,31.99,11,False,SZTM
2024-09-16,0.0,0.0,0.0,31.99,0,True,SZTM
2024-09-18,31.0,31.0,30.5,30.95,1052,False,SZTM
2024-09-19,30.95,30.95,29.5,30.95,102,False,SZTM
2024-09-20,0.0,0.0,0.0,30.95,0,True,SZTM
2024-09-23,29.0,29.0,29.0,29.0,1000,False,SZTM
2024-09-24,30.99,30.99,30.99,29.0,260,True,SZTM
2024-09-25,31.9,31.9,31.89,29.0,226,True,SZTM
2024-09-26,0.0,0.0,0.0,29.0,0,True,SZTM
2024-09-27,27.0,27.0,27.0,29.0,80,True,SZTM
2024-09-30,27.0,27.25,27.0,28.31,240,True,SZTM
2024-10-04,31.1,31.1,31.1,28.31,2,True,SZTM
2024-10-07,28.3,28.3,28.3,28.31,375,True,SZTM
2024-10-08,31.13,31.13,31.13,28.31,2,True,SZTM
2024-10-09,31.13,31.13,31.13,28.31,30,True,SZTM
2024-10-14,28.31,28.31,28.31,28.31,1,False,SZTM
2024-10-16,31.14,31.14,31.14,31.14,1001,False,SZTM
2024-10-22,34.0,34.0,34.0,31.14,5,True,SZTM
2024-11-04,31.14,31.14,31.14,31.14,1,False,SZTM
2024-11-08,34.0,34.0,34.0,31.14,13,True,SZTM
2024-11-11,0.0,0.0,0.0,31.14,4,True,SZTM
2024-11-15,31.14,31.14,31.14,31.14,1,False,SZTM
2024-11-18,34.0,34.0,34.0,31.14,10,True,SZTM
2024-11-19,34.0,34.0,34.0,31.14,10,True,SZTM
2024-11-20,34.0,34.0,34.0,31.14,2,True,SZTM
2024-11-21,34.0,34.0,30.0,31.14,37,False,SZTM
2024-11-25,34.0,34.0,34.0,31.14,5,True,SZTM
2024-11-26,34.0,34.0,33.0,31.14,2,True,SZTM
2024-12-02,33.0,33.0,33.0,31.14,1,True,SZTM
2024-12-03,29.15,29.15,29.15,29.15,3928,False,SZTM
2024-12-06,31.0,31.0,31.0,29.87,300,True,SZTM
2024-12-11,28.0,28.0,28.0,29.87,500,True,SZTM
2024-12-12,28.1,28.1,28.1,29.87,150,True,SZTM
2024-12-18,28.1,31.0,28.1,29.87,102,False,SZTM
2024-12-23,29.0,29.0,29.0,29.87,99,True,SZTM
2024-12-24,28.0,28.0,28.0,29.87,201,True,SZTM
2024-12-30,27.5,27.5,27.5,29.87,1,True,SZTM
2025-01-03,27.3,27.3,27.3,29.87,5,True,SZTM
2025-01-08,27.1,27.1,27.1,29.87,1,True,SZTM
2025-01-14,29.8,29.8,29.8,29.87,465,True,SZTM
2025-01-16,30.0,30.0,30.0,29.87,70,True,SZTM
2025-01-20,30.0,30.0,30.0,29.87,1,True,SZTM
2025-01-23,28.5,28.5,28.5,29.87,96,True,SZTM
2025-02-04,30.0,30.0,30.0,29.87,17,True,SZTM
2025-03-24,32.0,32.0,32.0,29.87,1,True,SZTM
2025-04-09,27.22,30.0,27.22,29.87,12,False,SZTM
2025-04-14,27.26,27.26,27.26,29.87,1,True,SZTM
2025-04-17,29.5,29.5,28.0,29.87,381,True,SZTM
2025-04-18,30.0,30.0,28.0,29.87,3,False,SZTM
2025-04-21,29.9,29.9,28.0,29.87,2,False,SZTM
2025-04-22,30.0,30.0,30.0,29.87,88,True,SZTM
2025-05-16,31.0,31.0,31.0,29.87,20,True,SZTM
2025-05-20,27.1,31.0,27.1,29.87,3,False,SZTM
2025-05-22,30.0,30.0,30.0,30.0,2005,False,SZTM
2025-05-26,31.0,31.0,31.0,30.0,1,True,SZTM
2025-05-29,31.0,31.0,31.0,30.0,1,True,SZTM
2025-05-30,30.0,33.0,30.0,30.0,217,False,SZTM
2025-06-02,33.0,33.0,31.13,32.94,552,False,SZTM
2025-06-03,36.2,36.2,31.6,32.94,79,False,SZTM
2025-06-04,35.0,36.23,35.0,36.23,1085,False,SZTM
2025-06-05,37.0,37.0,37.0,36.23,100,True,SZTM
2025-06-10,37.5,37.5,37.5,36.23,150,True,SZTM
2025-06-11,39.85,39.85,33.05,36.23,7,False,SZTM
2025-06-12,37.0,39.85,34.0,38.49,880,False,SZTM
2025-06-13,42.25,42.25,35.2,38.49,4,False,SZTM
2025-06-16,38.99,38.99,38.99,38.49,100,True,SZTM
2025-06-17,38.0,38.0,38.0,38.49,1,True,SZTM
2025-06-18,39.98,42.3,38.5,38.49,267,True,SZTM
2025-06-19,41.0,42.34,39.0,42.34,2238,False,SZTM
2025-06-20,46.57,46.57,46.57,46.57,742,False,SZTM
2025-06-23,51.23,51.23,51.23,47.9,301,True,SZTM
2025-06-24,52.69,52.69,52.69,52.69,500,False,SZTM
2025-06-25,57.96,57.96,57.96,57.96,1451,False,SZTM
2025-06-26,63.76,63.76,63.76,63.76,855,False,SZTM
2025-06-27,70.14,70.14,57.38,64.99,10227,False,SZTM
2025-06-30,69.9,69.9,59.0,59.08,2683,False,SZTM
2025-07-01,59.07,62.0,54.0,54.01,2160,False,SZTM
2025-07-02,54.01,59.41,54.01,59.41,4401,False,SZTM
2025-07-03,59.51,65.35,59.51,65.28,9452,False,SZTM
2025-07-04,65.6,65.6,58.75,59.01,7597,False,SZTM
2025-07-07,60.0,64.91,55.0,64.52,25767,False,SZTM
2025-07-08,70.97,70.97,63.61,70.97,7266,False,SZTM
2025-07-09,78.07,78.07,70.97,78.07,56141,False,SZTM
2025-07-10,80.2,85.5,71.63,73.38,33668,False,SZTM
2025-07-11,73.38,75.0,66.55,70.78,3724,False,SZTM
2025-07-14,70.78,77.86,66.0,76.5,13565,False,SZTM
2025-07-15,82.01,84.15,70.0,73.62,63094,False,SZTM
2025-07-16,77.0,78.0,67.0,77.22,12510,False,SZTM
2025-07-17,78.99,78.99,69.5,69.68,81371,False,SZTM
2025-07-18,73.99,73.99,63.52,65.87,5321,False,SZTM
2025-07-21,69.39,69.39,61.1,62.81,9524,False,SZTM
2025-07-22,62.81,64.0,60.5,62.0,23663,False,SZTM
2025-07-23,62.0,62.0,56.26,61.62,6744,False,SZTM
2025-07-24,61.0,61.05,58.1,60.0,2610,False,SZTM
2025-07-25,60.0,62.0,58.25,59.98,2402,False,SZTM
2025-07-28,59.98,60.0,57.51,57.99,7354,False,SZTM
2025-07-29,57.5,58.5,52.19,53.66,7178,False,SZTM
2025-07-30,54.01,56.0,54.0,55.81,2906,False,SZTM
2025-07-31,58.0,58.0,57.9,58.0,1046,False,SZTM
2025-08-01,58.0,58.0,57.0,58.0,242,False,SZTM
2025-08-04,57.0,57.5,52.26,53.0,7388,False,SZTM
2025-08-05,53.05,53.1,53.0,53.0,7454,False,SZTM
2025-08-06,57.0,57.0,47.75,49.8,17504,False,SZTM
2025-08-07,50.0,50.19,48.25,49.98,19926,False,SZTM
2025-08-08,50.0,51.95,45.16,49.76,3053,False,SZTM
2025-08-11,50.0,51.1,46.0,49.76,366,False,SZTM
2025-08-12,50.0,51.0,46.0,51.0,4118,False,SZTM
2025-08-13,55.9,55.9,51.0,55.41,6602,False,SZTM
2025-08-15,56.12,60.95,55.0,60.95,26200,False,SZTM
2025-08-18,67.05,67.05,67.0,67.05,22826,False,SZTM
2025-08-19,73.7,73.75,60.35,64.14,41244,False,SZTM
2025-08-20,62.01,64.85,59.1,60.58,16113,False,SZTM
2025-08-21,60.58,60.58,56.3,60.0,3369,False,SZTM
2025-08-22,60.0,65.9,56.1,59.54,5642,False,SZTM
2025-08-25,65.15,65.15,61.0,61.9,1030,False,SZTM
2025-08-26,62.1,63.9,57.02,63.03,631,False,SZTM
2025-08-27,60.05,64.74,57.05,57.8,570,False,SZTM
2025-08-28,62.9,62.9,55.1,61.8,659,False,SZTM
2025-08-29,63.0,66.94,55.66,57.47,1283,False,SZTM
2025-09-01,57.47,61.1,54.0,55.79,1399,False,SZTM
2025-09-02,60.9,61.37,55.81,60.23,2944,False,SZTM
2025-09-03,64.97,66.25,60.51,60.51,8169,False,SZTM
2025-09-04,62.0,62.0,62.0,60.51,150,True,SZTM
2025-09-05,61.57,61.57,61.57,60.51,120,True,SZTM
2025-09-08,57.5,64.0,55.05,57.0,2463,False,SZTM
2025-09-09,59.0,59.0,58.98,57.0,101,True,SZTM
2025-09-10,58.1,59.95,57.99,57.99,2059,False,SZTM
2025-09-11,60.0,60.0,55.21,57.99,68,False,SZTM
2025-09-12,58.0,58.0,56.0,57.99,410,False,SZTM
2025-09-15,55.51,59.0,55.51,57.99,69,False,SZTM
2025-09-16,56.0,59.0,56.0,58.5,835,False,SZTM
2025-09-17,59.0,59.5,58.8,58.5,337,True,SZTM
2025-09-18,57.04,60.0,57.03,59.33,1000,False,SZTM
2025-09-19,59.5,59.5,59.5,59.33,150,True,SZTM
