date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,57.5,57.5,57.5,57.5,1500,False,TATM
2021-04-28,60.84,61.81,60.84,61.81,8000,False,TATM
2021-04-29,64.0,64.2,60.0,62.63,23500,False,TATM
2021-05-03,66.4,66.4,64.0,64.0,1000,False,TATM
2021-05-04,65.9,65.9,63.0,63.0,1500,False,TATM
2021-05-06,65.0,65.0,62.0,63.87,35500,False,TATM
2021-05-17,64.5,68.66,63.5,68.24,37000,False,TATM
2021-05-18,71.5,72.0,71.5,71.9,2000,False,TATM
2021-05-19,70.0,72.0,70.0,72.0,1000,False,TATM
2021-05-21,68.0,72.0,68.0,72.0,7000,False,TATM
2021-05-24,74.9,74.9,74.9,74.9,500,False,TATM
2021-05-25,74.5,74.5,73.0,73.0,1000,False,TATM
2021-05-26,74.9,74.9,74.9,74.9,1000,False,TATM
2021-05-27,73.0,73.0,73.0,73.0,500,False,TATM
2021-05-31,74.99,76.55,72.0,74.1,12500,False,TATM
2021-06-01,70.0,79.65,70.0,79.65,34500,False,TATM
2021-06-02,81.95,83.0,81.95,82.16,3000,False,TATM
2021-06-03,84.0,84.0,82.16,84.0,1500,False,TATM
2021-06-04,80.1,80.1,80.0,80.0,1500,False,TATM
2021-06-07,80.99,82.0,80.99,82.0,4000,False,TATM
2021-06-08,79.0,79.0,79.0,79.0,1000,False,TATM
2021-06-09,76.5,81.5,76.5,81.49,5000,False,TATM
2021-06-11,81.0,81.0,81.0,81.0,500,False,TATM
2021-06-16,75.0,83.9,75.0,81.83,4500,False,TATM
2021-06-17,82.5,82.5,82.5,82.5,1000,False,TATM
2021-06-18,83.25,84.49,81.0,84.25,15500,False,TATM
2021-06-21,80.0,84.94,80.0,84.92,2500,False,TATM
2021-06-22,85.98,85.99,84.92,85.99,4000,False,TATM
2021-06-23,82.5,84.0,82.5,84.0,7000,False,TATM
2021-06-24,82.5,83.99,79.5,83.99,72000,False,TATM
2021-06-28,84.99,84.99,84.99,84.99,15000,False,TATM
2021-06-30,85.3,91.36,85.0,85.18,26500,False,TATM
2021-07-01,86.0,87.9,86.0,87.9,2500,False,TATM
2021-07-02,88.0,88.0,82.0,82.72,6500,False,TATM
2021-07-05,80.0,85.85,80.0,85.06,19000,False,TATM
2021-07-06,85.0,85.5,82.5,83.0,25000,False,TATM
2021-07-07,81.0,81.0,81.0,81.0,500,False,TATM
2021-07-08,82.0,84.9,79.0,80.47,18500,False,TATM
2021-07-09,78.0,80.49,78.0,80.37,10500,False,TATM
2021-07-13,78.0,81.5,78.0,81.5,2500,False,TATM
2021-07-14,78.03,78.5,78.0,78.5,2000,False,TATM
2021-07-15,75.0,76.1,75.0,76.05,7000,False,TATM
2021-07-16,77.0,78.99,71.25,78.9,47000,False,TATM
2021-07-19,75.5,75.5,73.5,75.0,3000,False,TATM
2021-07-23,77.0,77.0,77.0,77.0,2000,False,TATM
2021-07-27,77.0,80.0,77.0,77.6,16500,False,TATM
2021-08-02,75.6,77.49,75.01,76.83,7000,False,TATM
2021-08-03,75.5,76.0,75.5,76.0,1500,False,TATM
2021-08-04,76.0,78.0,76.0,77.0,37000,False,TATM
2021-08-05,77.0,77.0,76.05,76.5,2500,False,TATM
2021-08-09,74.0,74.0,73.5,73.87,3000,False,TATM
2021-08-10,71.5,75.0,71.5,73.0,2500,False,TATM
2021-08-11,75.0,75.0,75.0,75.0,5500,False,TATM
2021-08-23,75.0,76.0,74.0,74.38,18000,False,TATM
2021-08-24,73.25,77.01,73.25,76.82,234500,False,TATM
2021-08-25,79.79,79.79,77.0,77.93,53000,False,TATM
2021-08-26,79.0,79.0,75.0,76.15,6500,False,TATM
2021-08-27,77.5,81.0,76.1,76.9,80500,False,TATM
2021-08-30,79.8,79.8,77.5,78.53,22500,False,TATM
2021-08-31,79.0,81.0,79.0,80.75,123000,False,TATM
2021-09-01,81.0,81.5,79.5,80.04,26000,False,TATM
