date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,21.05,21.25,20.03,21.25,7500,False,TCORP
2021-04-27,21.49,22.0,21.05,21.6,15000,False,TCORP
2021-04-28,21.6,22.0,21.35,21.92,13500,False,TCORP
2021-04-29,22.0,22.66,21.75,22.0,12000,False,TCORP
2021-04-30,22.0,22.0,21.5,21.92,4000,False,TCORP
2021-05-03,21.0,21.5,20.73,21.01,28500,False,TCORP
2021-05-04,21.5,21.5,21.25,21.28,19500,False,TCORP
2021-05-05,22.0,22.0,21.55,21.55,5500,False,TCORP
2021-05-06,21.9,21.9,21.9,21.9,500,False,TCORP
2021-05-17,22.24,23.1,22.24,22.75,23500,False,TCORP
2021-05-18,23.0,23.45,22.6,23.0,62500,False,TCORP
2021-05-19,23.0,23.0,22.81,22.81,7500,False,TCORP
2021-05-20,23.0,23.0,22.2,22.81,21500,False,TCORP
2021-05-21,22.4,23.9,22.4,23.33,104000,False,TCORP
2021-05-24,23.3,24.39,23.02,23.69,77500,False,TCORP
2021-05-25,23.75,24.0,23.35,23.35,31500,False,TCORP
2021-05-26,23.3,23.5,23.2,23.25,36500,False,TCORP
2021-05-27,23.25,23.25,23.1,23.25,12500,False,TCORP
2021-05-28,24.89,24.89,21.51,21.51,63000,False,TCORP
2021-05-31,19.9,22.49,19.9,19.9,240000,False,TCORP
2021-06-01,19.9,20.47,19.4,19.61,117500,False,TCORP
2021-06-02,19.99,20.56,19.52,19.9,71500,False,TCORP
2021-06-03,19.9,20.2,19.0,19.23,65500,False,TCORP
2021-06-04,19.45,19.5,19.0,19.27,79000,False,TCORP
2021-06-07,19.55,19.89,19.4,19.41,30500,False,TCORP
2021-06-08,19.27,19.45,19.01,19.24,20500,False,TCORP
2021-06-09,19.11,19.35,19.11,19.19,6500,False,TCORP
2021-06-10,19.49,19.6,19.0,19.13,34500,False,TCORP
2021-06-11,19.0,19.69,18.95,19.04,39500,False,TCORP
2021-06-14,19.64,19.64,19.0,19.19,103000,False,TCORP
2021-06-15,19.4,19.88,19.3,19.39,63500,False,TCORP
2021-06-16,19.7,20.2,19.64,19.74,106500,False,TCORP
2021-06-17,19.99,20.42,19.7,19.98,68000,False,TCORP
2021-06-18,19.9,20.49,19.9,20.25,31500,False,TCORP
2021-06-21,20.55,21.76,19.9,20.0,45500,False,TCORP
2021-06-22,19.9,20.0,19.72,19.99,14000,False,TCORP
2021-06-23,20.0,20.3,20.0,20.19,7000,False,TCORP
2021-06-24,20.2,20.49,20.0,20.05,9000,False,TCORP
2021-06-25,20.0,20.0,19.95,19.95,141500,False,TCORP
2021-06-28,19.8,19.8,19.0,19.15,19500,False,TCORP
