date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,17.22,17.22,14.82,14.99,55047000,False,TELE
2021-04-27,14.2,16.1,14.01,15.31,48151500,False,TELE
2021-04-28,16.06,16.45,15.8,16.34,29326500,False,TELE
2021-04-29,16.5,17.0,15.5,15.78,19564500,False,TELE
2021-04-30,16.15,16.61,14.6,14.78,22859000,False,TELE
2021-05-03,14.15,14.75,13.68,13.75,25354500,False,TELE
2021-05-04,13.36,14.78,13.25,14.75,26289000,False,TELE
2021-05-05,15.42,15.85,15.31,15.58,32751000,False,TELE
2021-05-06,15.81,15.85,15.2,15.54,12799500,False,TELE
2021-05-17,15.85,16.7,15.54,16.7,21678500,False,TELE
2021-05-18,17.15,17.95,16.7,17.54,49090500,False,TELE
2021-05-19,17.35,17.6,16.6,16.82,29290500,False,TELE
2021-05-20,16.69,17.4,16.62,16.86,13985000,False,TELE
2021-05-21,16.8,17.22,16.4,16.49,8803000,False,TELE
2021-05-24,16.65,17.08,16.06,16.31,18260000,False,TELE
2021-05-25,16.4,17.53,16.3,17.53,37675000,False,TELE
2021-05-26,18.5,18.84,18.1,18.84,25941000,False,TELE
2021-05-27,19.01,19.49,17.95,18.21,56218000,False,TELE
2021-05-28,18.3,18.5,17.71,17.8,13385500,False,TELE
2021-05-31,18.1,18.85,17.9,18.05,19821000,False,TELE
2021-06-01,18.25,18.3,17.82,17.89,12988500,False,TELE
2021-06-02,18.05,18.05,17.5,17.54,10092000,False,TELE
2021-06-03,17.52,18.13,17.4,17.56,14492000,False,TELE
2021-06-04,17.69,17.88,17.25,17.39,8746000,False,TELE
2021-06-07,17.5,18.49,17.4,17.97,31007000,False,TELE
2021-06-08,18.02,18.15,17.1,17.33,8497000,False,TELE
2021-06-09,17.36,17.8,17.05,17.12,13599500,False,TELE
2021-06-10,17.29,17.58,16.93,17.09,17414500,False,TELE
2021-06-11,17.2,17.73,17.16,17.23,14974000,False,TELE
2021-06-14,17.4,17.65,16.69,16.85,15269500,False,TELE
2021-06-15,16.8,16.85,16.16,16.28,12390500,False,TELE
2021-06-16,16.45,16.62,16.0,16.15,7277000,False,TELE
2021-06-17,16.14,17.15,16.02,16.38,18457000,False,TELE
2021-06-18,16.4,16.72,16.2,16.34,5726500,False,TELE
2021-06-21,16.29,16.49,15.7,15.92,6402000,False,TELE
2021-06-22,15.8,16.0,15.0,15.23,10116500,False,TELE
