date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,16.3,17.99,16.26,17.58,92000,False,THCCL
2021-04-27,17.25,17.5,16.8,16.81,151500,False,THCCL
2021-04-28,16.81,16.88,16.55,16.75,19000,False,THCCL
2021-04-29,16.55,16.55,16.0,16.08,114000,False,THCCL
2021-04-30,15.75,16.92,15.6,16.54,85000,False,THCCL
2021-05-03,16.5,16.5,16.0,16.02,21500,False,THCCL
2021-05-04,15.6,16.99,15.6,16.41,63000,False,THCCL
2021-05-05,16.41,16.99,16.41,16.89,29500,False,THCCL
2021-05-06,16.99,17.0,16.85,16.95,13000,False,THCCL
2021-05-17,16.8,17.35,16.8,17.24,159500,False,THCCL
2021-05-18,17.6,17.6,16.8,17.21,120000,False,THCCL
2021-05-19,17.2,17.3,16.8,17.09,82500,False,THCCL
2021-05-20,17.0,17.4,17.0,17.13,91000,False,THCCL
2021-05-21,17.01,17.42,17.01,17.42,9500,False,THCCL
2021-05-24,17.06,17.64,17.06,17.39,66500,False,THCCL
2021-05-25,17.3,17.8,17.3,17.62,137000,False,THCCL
2021-05-26,17.7,18.4,17.7,17.98,270500,False,THCCL
2021-05-27,18.0,18.82,17.7,18.16,184500,False,THCCL
2021-05-28,17.81,18.99,17.81,18.57,238500,False,THCCL
2021-05-31,18.56,19.89,18.56,19.61,796500,False,THCCL
2021-06-01,19.4,19.4,19.0,19.11,184000,False,THCCL
2021-06-02,19.35,19.49,19.02,19.1,173000,False,THCCL
2021-06-03,19.05,20.3,19.05,20.02,2686500,False,THCCL
2021-06-04,19.99,20.55,19.85,20.07,1328500,False,THCCL
2021-06-07,20.5,20.6,19.82,20.22,1133000,False,THCCL
2021-06-08,20.45,21.73,20.45,21.73,3621500,False,THCCL
2021-06-09,22.1,22.5,21.33,22.01,2030000,False,THCCL
2021-06-10,22.02,22.25,20.8,21.12,814500,False,THCCL
2021-06-11,21.33,21.75,21.0,21.21,816500,False,THCCL
2021-06-14,21.84,21.84,20.66,20.97,587000,False,THCCL
2021-06-15,21.4,21.7,20.7,20.82,405000,False,THCCL
2021-06-16,20.85,20.95,20.0,20.09,412000,False,THCCL
2021-06-17,20.01,21.25,19.7,20.48,1706500,False,THCCL
2021-06-18,20.25,20.9,19.75,20.18,378500,False,THCCL
2021-06-21,20.25,20.9,19.9,20.69,1201000,False,THCCL
2021-06-22,20.79,22.21,20.72,21.87,4671500,False,THCCL
2021-06-23,22.0,22.48,21.5,22.01,2813500,False,THCCL
2021-06-24,21.97,22.25,21.5,21.61,436500,False,THCCL
2021-06-25,21.71,21.71,21.0,21.09,110000,False,THCCL
2021-06-28,21.43,21.45,19.76,19.98,210000,False,THCCL
2021-06-29,19.98,20.74,19.75,20.28,2791500,False,THCCL
2021-06-30,20.5,21.02,20.4,20.73,1283000,False,THCCL
2021-07-01,21.0,21.69,20.7,20.8,1999000,False,THCCL
2021-07-02,21.0,21.1,20.25,20.39,356000,False,THCCL
2021-07-05,20.4,21.24,20.25,20.64,692000,False,THCCL
2021-07-06,20.45,22.18,20.45,22.18,4969500,False,THCCL
2021-07-07,22.65,23.84,22.4,23.26,7083000,False,THCCL
2021-07-08,23.3,24.45,23.0,23.34,3326000,False,THCCL
2021-07-09,23.25,23.55,22.61,22.74,1420500,False,THCCL
2021-07-12,23.44,23.75,22.75,23.15,1193500,False,THCCL
2021-07-13,23.5,23.85,22.8,22.97,1049000,False,THCCL
2021-07-14,23.2,23.44,22.25,22.42,421500,False,THCCL
2021-07-15,22.35,22.98,22.35,22.64,515000,False,THCCL
2021-07-16,22.9,23.39,22.8,22.96,771500,False,THCCL
2021-07-19,23.1,23.49,22.53,22.72,518500,False,THCCL
2021-07-23,22.7,24.35,22.7,24.2,3153500,False,THCCL
2021-07-26,24.45,24.9,24.0,24.04,1886500,False,THCCL
2021-07-27,24.0,24.0,23.6,23.71,1432000,False,THCCL
2021-07-28,23.75,23.75,22.9,23.1,673000,False,THCCL
2021-07-29,22.65,23.0,22.41,22.5,104000,False,THCCL
2021-07-30,22.9,23.4,22.0,22.33,289000,False,THCCL
2021-08-02,22.55,22.55,22.0,22.38,248000,False,THCCL
2021-08-03,22.85,23.49,22.5,23.11,409000,False,THCCL
2021-08-04,23.0,23.3,22.5,22.58,140000,False,THCCL
2021-08-05,22.3,22.79,22.25,22.29,72500,False,THCCL
2021-08-06,22.5,22.55,22.0,22.06,213000,False,THCCL
2021-08-09,22.2,22.65,21.5,21.61,262500,False,THCCL
2021-08-10,21.8,21.8,20.6,21.31,659500,False,THCCL
2021-08-11,21.5,21.6,21.1,21.23,275500,False,THCCL
2021-08-12,21.3,21.3,21.1,21.25,64500,False,THCCL
2021-08-13,21.03,22.84,21.0,22.84,3468000,False,THCCL
2021-08-16,22.5,24.0,22.5,23.28,2216000,False,THCCL
2021-08-17,23.6,25.02,23.26,25.02,1764500,False,THCCL
2021-08-20,26.0,26.89,25.7,26.89,5177000,False,THCCL
2021-08-23,27.5,28.9,27.5,28.9,1622500,False,THCCL
2021-08-24,31.06,31.06,29.3,30.16,8932500,False,THCCL
2021-08-25,29.9,32.42,29.5,32.31,7022000,False,THCCL
2021-08-26,32.6,34.0,30.5,31.25,5463000,False,THCCL
2021-08-27,31.25,31.28,29.6,29.93,1668000,False,THCCL
2021-08-30,30.0,30.9,29.75,30.48,1216500,False,THCCL
2021-08-31,30.5,32.1,30.25,31.82,2140000,False,THCCL
2021-09-01,32.15,33.47,31.3,32.76,3857000,False,THCCL
2021-09-02,32.9,33.5,30.36,30.75,1948500,False,THCCL
2021-09-03,30.99,31.25,29.6,30.21,1056500,False,THCCL
2021-09-06,29.9,30.79,29.4,29.55,709000,False,THCCL
2021-09-07,29.48,29.9,28.33,29.43,288500,False,THCCL
2021-09-08,29.5,29.5,27.8,28.05,776500,False,THCCL
