date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,9.0,9.0,8.81,8.92,21000,False,TPLP
2021-04-27,9.0,9.0,8.85,8.96,69000,False,TPLP
2021-04-28,9.19,9.19,9.0,9.05,4000,False,TPLP
2021-04-29,9.5,9.5,9.0,9.15,39500,False,TPLP
2021-04-30,8.94,8.94,8.85,8.85,91000,False,TPLP
2021-05-03,8.75,8.8,8.75,8.8,6000,False,TPLP
2021-05-04,9.3,9.55,9.3,9.48,184500,False,TPLP
2021-05-05,9.19,9.75,9.0,9.58,140500,False,TPLP
2021-05-06,9.55,9.62,9.1,9.6,85000,False,TPLP
2021-05-17,9.75,10.1,9.75,10.01,357500,False,TPLP
2021-05-18,9.5,10.0,9.5,9.99,146500,False,TPLP
2021-05-19,9.9,10.0,9.9,9.96,131000,False,TPLP
2021-05-20,10.05,10.3,9.9,10.2,340500,False,TPLP
2021-05-21,10.25,10.4,10.2,10.33,209500,False,TPLP
2021-05-24,10.45,10.63,9.8,9.97,1294000,False,TPLP
2021-05-25,10.0,10.18,9.5,9.7,640000,False,TPLP
2021-05-26,9.94,10.7,9.9,10.64,936000,False,TPLP
2021-05-27,10.7,11.64,10.7,11.64,7477500,False,TPLP
2021-05-28,12.63,12.64,12.5,12.64,3818000,False,TPLP
2021-05-31,13.64,13.64,13.64,13.64,2582500,False,TPLP
2021-06-01,14.66,14.66,13.75,14.66,4140000,False,TPLP
2021-06-02,15.1,15.1,13.95,14.1,3935000,False,TPLP
2021-06-03,14.19,15.15,14.0,15.15,1528000,False,TPLP
2021-06-04,15.89,16.28,15.61,16.28,2690000,False,TPLP
2021-06-07,17.49,17.5,15.06,15.06,7403000,False,TPLP
2021-06-08,14.2,16.18,13.94,15.91,34870000,False,TPLP
2021-06-09,16.3,17.1,14.72,17.1,26787000,False,TPLP
2021-06-10,17.5,18.38,17.5,18.38,6388000,False,TPLP
2021-06-11,19.0,19.75,17.95,19.2,11905000,False,TPLP
2021-06-14,19.3,20.64,18.5,20.64,11355000,False,TPLP
2021-06-15,20.71,22.18,20.71,21.93,9934500,False,TPLP
2021-06-16,22.5,23.57,22.1,23.57,16313000,False,TPLP
2021-06-17,24.0,24.0,21.51,21.84,10693500,False,TPLP
2021-06-18,22.0,22.8,21.25,22.34,4220500,False,TPLP
2021-06-21,22.76,22.95,20.67,22.66,12939000,False,TPLP
2021-06-22,23.27,24.35,23.25,24.35,9730500,False,TPLP
2021-06-23,26.17,26.17,26.17,26.17,2515000,False,TPLP
2021-06-24,27.49,28.13,25.91,26.71,14395500,False,TPLP
2021-06-25,26.71,28.71,26.15,28.68,11704500,False,TPLP
2021-06-28,29.0,30.83,28.5,30.69,12220000,False,TPLP
2021-06-29,30.83,32.48,30.3,31.03,9259500,False,TPLP
2021-06-30,31.05,32.1,29.31,30.11,7558500,False,TPLP
2021-07-01,29.6,32.36,29.4,30.58,15632500,False,TPLP
2021-07-02,30.8,32.4,30.3,31.97,15256000,False,TPLP
2021-07-05,32.49,34.36,32.4,34.36,5949500,False,TPLP
2021-07-06,34.8,36.93,31.79,35.22,11495500,False,TPLP
2021-07-07,37.35,37.35,33.5,34.36,7285500,False,TPLP
2021-07-08,35.0,36.92,34.51,36.46,12407000,False,TPLP
2021-07-09,37.75,39.19,37.05,39.19,7700000,False,TPLP
2021-07-12,40.0,40.2,37.65,38.7,9962500,False,TPLP
2021-07-13,38.25,39.94,35.8,35.9,21617500,False,TPLP
2021-07-14,35.52,35.52,33.21,33.58,18679000,False,TPLP
2021-07-15,32.68,36.09,32.5,35.98,23098500,False,TPLP
2021-07-16,36.1,37.25,33.29,33.98,13420000,False,TPLP
2021-07-19,33.51,36.15,32.9,36.01,11748000,False,TPLP
2021-07-23,36.08,36.1,33.31,33.4,5785500,False,TPLP
2021-07-26,33.0,33.97,31.75,31.96,3376500,False,TPLP
2021-07-27,32.0,34.35,32.0,34.34,12883000,False,TPLP
2021-07-28,34.75,36.24,31.77,32.83,9812000,False,TPLP
2021-07-29,33.4,34.7,31.7,34.18,7878500,False,TPLP
2021-07-30,34.8,35.1,32.25,32.79,3712000,False,TPLP
2021-08-02,32.98,34.34,32.75,33.78,2512500,False,TPLP
2021-08-03,34.25,36.31,34.25,36.31,8897000,False,TPLP
2021-08-04,36.9,39.03,36.9,39.03,6778500,False,TPLP
2021-08-05,40.4,41.95,40.02,41.95,2615000,False,TPLP
2021-08-06,43.04,44.5,39.5,42.8,17108000,False,TPLP
2021-08-09,44.2,44.2,41.1,41.77,10522000,False,TPLP
2021-08-10,42.43,43.15,40.55,41.27,6223500,False,TPLP
2021-08-11,42.0,44.36,40.56,41.92,14061500,False,TPLP
2021-08-12,42.0,42.44,38.78,39.22,10473000,False,TPLP
2021-08-13,39.5,42.16,39.4,42.16,24516500,False,TPLP
2021-08-16,42.99,43.29,41.03,42.41,3294000,False,TPLP
2021-08-17,42.85,45.59,42.7,45.57,30977500,False,TPLP
2021-08-20,45.31,46.25,44.11,44.67,7466000,False,TPLP
2021-08-23,45.0,48.02,43.7,46.82,16381500,False,TPLP
2021-08-24,47.0,47.7,46.2,46.49,3983000,False,TPLP
2021-08-25,46.5,47.6,44.5,44.98,6770000,False,TPLP
2021-08-26,44.7,48.35,44.35,47.87,16952000,False,TPLP
2021-08-27,48.3,48.6,44.28,44.73,11658500,False,TPLP
2021-08-30,44.8,46.3,41.38,41.55,10478500,False,TPLP
2021-08-31,41.85,43.55,40.35,42.36,12632000,False,TPLP
2021-09-01,43.5,45.53,42.36,45.53,12953000,False,TPLP
2021-09-02,46.5,47.8,44.95,45.71,11947000,False,TPLP
2021-09-03,47.76,49.13,45.71,49.13,10967500,False,TPLP
2021-09-06,49.89,51.48,48.01,48.51,12755500,False,TPLP
2021-09-07,49.3,52.14,47.28,52.03,15569500,False,TPLP
2021-09-08,52.61,55.93,52.6,55.93,21646000,False,TPLP
2021-09-09,58.5,60.12,54.5,57.61,12731500,False,TPLP
2021-09-10,59.01,60.3,55.01,58.46,13580500,False,TPLP
2021-09-13,56.73,62.84,54.08,61.4,41074500,False,TPLP
2021-09-14,62.49,63.1,58.5,60.78,19083500,False,TPLP
2021-09-15,61.5,65.2,61.49,63.72,15341000,False,TPLP
2021-09-16,64.39,65.3,62.1,63.42,13471000,False,TPLP
2021-09-17,64.0,68.0,62.25,66.28,20907500,False,TPLP
2021-09-20,67.0,69.25,66.0,67.8,9535500,False,TPLP
2021-09-21,68.8,68.8,64.5,66.89,6438000,False,TPLP
2021-09-22,66.11,66.4,61.88,62.18,8498000,False,TPLP
2021-09-23,61.9,66.3,59.11,62.57,10856000,False,TPLP
2021-09-24,64.5,64.61,60.5,61.97,1823500,False,TPLP
2021-09-27,63.0,63.05,57.33,58.95,2967500,False,TPLP
2021-09-28,59.89,63.28,58.3,62.9,6322000,False,TPLP
2021-09-29,63.14,63.7,58.19,58.19,6137000,False,TPLP
2021-09-30,57.39,57.39,53.83,53.84,7927000,False,TPLP
2021-10-01,52.9,56.6,49.81,53.74,8109000,False,TPLP
2021-10-04,53.8,55.0,51.01,54.4,5165000,False,TPLP
2021-10-05,55.0,58.31,54.8,55.61,7688000,False,TPLP
2021-10-06,56.21,57.0,51.44,51.76,2467500,False,TPLP
2021-10-07,52.5,54.0,50.23,51.22,2836000,False,TPLP
2021-10-08,51.49,53.43,48.38,49.76,2814500,False,TPLP
2021-10-11,49.05,50.77,46.03,46.03,2265500,False,TPLP
2021-10-12,43.55,45.5,42.58,43.38,9038500,False,TPLP
2021-10-13,43.99,44.3,40.13,40.13,2674000,False,TPLP
2021-10-14,37.13,43.13,37.13,43.05,9499000,False,TPLP
2021-10-15,43.5,43.88,40.26,41.79,2156000,False,TPLP
2021-10-18,40.65,40.8,38.66,38.66,3027500,False,TPLP
2021-10-20,37.51,41.0,37.51,39.14,4075000,False,TPLP
2021-10-21,39.49,40.8,38.0,40.04,3026000,False,TPLP
2021-10-22,40.2,43.04,39.5,43.03,3812500,False,TPLP
2021-10-25,43.9,46.26,43.8,46.19,3348000,False,TPLP
2021-10-26,46.98,48.5,46.0,46.62,2872500,False,TPLP
2021-10-27,47.25,49.2,47.25,48.18,1381500,False,TPLP
2021-10-28,49.89,49.89,47.3,47.78,2420500,False,TPLP
2021-10-29,48.8,48.8,45.01,46.81,574000,False,TPLP
2021-11-01,48.0,48.25,46.35,46.54,2058500,False,TPLP
2021-11-02,47.45,48.68,45.5,47.01,4047500,False,TPLP
2021-11-03,47.9,50.53,47.75,50.53,16093000,False,TPLP
2021-11-04,51.5,54.31,51.25,54.26,15096000,False,TPLP
2021-11-05,54.6,58.32,54.3,58.32,11529000,False,TPLP
2021-11-08,60.0,62.1,58.25,59.82,13596000,False,TPLP
2021-11-09,52.0,52.5,46.12,50.23,18566000,False,TPLP
2021-11-10,51.26,53.99,51.25,53.77,19256000,False,TPLP
2021-11-11,54.34,55.9,50.11,53.05,13177000,False,TPLP
2021-11-12,54.0,54.0,50.01,50.84,4909500,False,TPLP
