date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,6.42,7.0,6.25,6.85,724500,False,TPL
2021-04-27,6.7,6.99,6.56,6.87,308500,False,TPL
2021-04-28,6.87,6.9,6.6,6.8,660500,False,TPL
2021-04-29,6.61,6.94,6.6,6.81,672000,False,TPL
2021-04-30,6.71,6.71,6.25,6.45,316500,False,TPL
2021-05-03,6.04,6.37,6.0,6.1,342500,False,TPL
2021-05-04,6.2,6.25,6.14,6.21,108000,False,TPL
2021-05-05,6.22,6.3,6.2,6.23,120000,False,TPL
2021-05-06,6.23,6.3,6.21,6.24,53000,False,TPL
2021-05-17,6.33,6.64,6.27,6.57,246000,False,TPL
2021-05-18,6.5,6.5,6.41,6.5,154000,False,TPL
2021-05-19,6.41,6.6,6.33,6.48,520000,False,TPL
2021-05-20,6.65,7.17,6.65,6.98,6386500,False,TPL
2021-05-21,7.0,7.2,6.85,6.9,1277000,False,TPL
2021-05-24,7.05,7.05,6.71,6.81,458000,False,TPL
2021-05-25,6.76,6.94,6.71,6.82,382500,False,TPL
2021-05-26,6.88,7.4,6.88,7.21,6475500,False,TPL
2021-05-27,7.3,8.21,7.24,7.86,19300500,False,TPL
2021-05-28,8.08,8.6,7.98,8.29,9473000,False,TPL
2021-05-31,8.41,9.29,8.41,9.29,14137500,False,TPL
2021-06-01,9.7,10.29,9.51,10.29,23114500,False,TPL
2021-06-02,10.7,10.75,9.4,9.55,12380000,False,TPL
2021-06-03,9.63,10.4,9.45,10.24,11891000,False,TPL
2021-06-04,10.44,11.12,10.2,10.84,14473500,False,TPL
2021-06-07,11.0,11.2,10.5,10.64,6246000,False,TPL
2021-06-08,10.8,10.99,10.0,10.52,13091500,False,TPL
2021-06-09,10.62,11.4,10.18,11.02,11866500,False,TPL
2021-06-10,11.06,11.5,10.98,11.08,5799500,False,TPL
2021-06-11,11.2,11.5,10.8,10.97,6795000,False,TPL
2021-06-14,11.07,11.32,10.76,10.85,5162000,False,TPL
2021-06-15,10.84,11.4,10.7,10.98,4127000,False,TPL
2021-06-16,10.92,11.36,10.92,11.03,2794000,False,TPL
2021-06-17,11.15,12.03,11.0,12.03,15840000,False,TPL
2021-06-18,13.03,13.03,13.03,13.03,1976000,False,TPL
