date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,180.01,183.0,172.0,177.46,74300,False,TRIPF
2021-04-27,180.0,180.0,178.0,178.01,23500,False,TRIPF
2021-04-28,178.5,178.5,176.5,176.8,600,False,TRIPF
2021-04-29,174.04,178.7,174.0,174.79,2700,False,TRIPF
2021-04-30,171.0,172.01,171.0,172.0,4600,False,TRIPF
2021-05-03,174.0,174.0,170.0,170.54,29200,False,TRIPF
2021-05-04,173.0,173.0,172.8,173.0,2000,False,TRIPF
2021-05-05,175.0,175.0,170.5,171.17,39600,False,TRIPF
2021-05-06,170.5,173.9,170.1,173.27,24500,False,TRIPF
2021-05-17,175.0,180.9,174.5,175.42,107200,False,TRIPF
2021-05-18,176.0,176.0,170.51,173.11,112800,False,TRIPF
2021-05-19,173.75,175.5,173.0,173.0,42500,False,TRIPF
2021-05-20,174.49,175.51,172.01,172.94,56000,False,TRIPF
2021-05-21,174.5,175.0,173.01,174.0,5100,False,TRIPF
2021-05-24,175.5,178.0,175.5,176.5,42800,False,TRIPF
2021-05-25,177.0,178.5,177.0,178.4,36800,False,TRIPF
2021-05-26,178.9,179.9,178.05,178.2,18900,False,TRIPF
2021-05-27,177.1,179.0,175.0,178.19,52900,False,TRIPF
2021-05-28,178.0,178.01,176.0,176.31,30700,False,TRIPF
2021-05-31,178.5,182.0,177.9,181.43,20300,False,TRIPF
2021-06-01,180.25,181.0,180.0,180.96,14900,False,TRIPF
2021-06-02,178.51,180.0,178.5,179.67,29500,False,TRIPF
2021-06-03,176.0,182.95,176.0,179.03,11500,False,TRIPF
2021-06-04,178.05,179.5,177.08,178.92,14600,False,TRIPF
2021-06-07,176.11,179.0,176.0,176.09,18200,False,TRIPF
2021-06-08,175.0,189.29,175.0,189.29,440000,False,TRIPF
2021-06-09,194.01,203.48,193.3,196.53,547200,False,TRIPF
2021-06-10,198.7,200.0,193.0,193.92,96700,False,TRIPF
2021-06-11,197.9,199.4,190.0,193.43,131400,False,TRIPF
2021-06-14,193.0,198.0,185.16,189.93,90100,False,TRIPF
2021-06-15,186.15,191.0,186.13,187.25,5000,False,TRIPF
2021-06-16,186.51,193.3,186.51,190.0,11900,False,TRIPF
2021-06-17,193.4,193.4,187.5,188.08,10300,False,TRIPF
2021-06-18,187.5,190.0,187.5,189.08,11600,False,TRIPF
2021-06-21,185.51,190.0,185.49,189.83,12000,False,TRIPF
