date,open,high,low,close,volume,is_anomaly,ticker
2021-04-29,2.25,2.25,2.25,2.25,500,False,TRSM
2021-05-04,2.0,2.0,2.0,2.0,500,False,TRSM
2021-05-05,2.0,2.0,2.0,2.0,500,False,TRSM
2021-05-17,2.2,2.2,2.2,2.2,500,False,TRSM
2021-05-18,2.0,2.0,2.0,2.0,500,False,TRSM
2021-05-21,2.3,2.3,2.3,2.3,500,False,TRSM
2021-05-24,2.49,2.5,2.05,2.05,21500,False,TRSM
2021-05-25,2.45,2.88,2.45,2.87,20500,False,TRSM
2021-05-26,2.87,2.88,2.5,2.8,18000,False,TRSM
2021-05-27,2.99,2.99,2.79,2.8,5000,False,TRSM
2021-05-31,2.99,3.0,2.99,3.0,1000,False,TRSM
2021-06-01,2.66,2.66,2.66,2.66,500,False,TRSM
2021-06-02,2.6,3.0,2.6,3.0,1500,False,TRSM
2021-06-03,2.98,2.99,2.98,2.99,1000,False,TRSM
2021-06-04,2.75,2.75,2.5,2.5,5000,False,TRSM
2021-06-07,2.79,2.99,2.79,2.99,15000,False,TRSM
2021-06-08,0.0,2.99,2.99,2.99,1500,True,TRSM
2021-06-10,2.66,2.99,2.66,2.98,3500,False,TRSM
2021-06-11,2.99,2.99,2.61,2.97,11000,False,TRSM
2021-06-15,2.7,2.98,2.7,2.84,1000,False,TRSM
2021-06-16,2.67,2.99,2.67,2.71,33000,False,TRSM
2021-06-17,2.9,2.9,2.9,2.9,14500,False,TRSM
2021-06-18,2.72,2.89,2.72,2.89,2500,False,TRSM
2021-06-21,2.65,2.88,2.64,2.88,99000,False,TRSM
2021-06-22,2.65,2.97,2.65,2.72,8000,False,TRSM
2021-06-23,2.66,2.72,2.66,2.66,1000,False,TRSM
2021-06-25,2.66,3.66,2.66,3.3,155500,False,TRSM
2021-06-28,3.4,3.4,3.01,3.09,11000,False,TRSM
2021-06-30,2.65,3.2,2.65,3.2,8000,False,TRSM
2021-07-01,2.91,3.44,2.91,3.0,23000,False,TRSM
2021-07-02,2.91,3.1,2.91,3.0,5000,False,TRSM
2021-07-05,2.81,3.25,2.81,2.95,3500,False,TRSM
2021-07-06,2.87,2.87,2.86,2.86,1000,False,TRSM
2021-07-07,3.17,3.17,3.17,3.17,500,False,TRSM
2021-07-08,3.17,3.17,2.92,3.1,8000,False,TRSM
2021-07-09,3.0,3.0,2.9,2.9,2000,False,TRSM
2021-07-14,2.92,2.92,2.31,2.59,165000,False,TRSM
2021-07-15,2.59,2.69,2.59,2.66,13000,False,TRSM
2021-07-16,2.41,2.84,2.41,2.82,11500,False,TRSM
2021-07-19,2.82,2.84,2.7,2.8,20500,False,TRSM
2021-07-23,2.85,2.89,2.8,2.86,8000,False,TRSM
2021-07-26,2.8,2.85,2.8,2.85,7000,False,TRSM
2021-07-27,2.87,3.0,2.87,2.9,42000,False,TRSM
2021-07-28,2.94,3.06,2.94,3.05,6500,False,TRSM
2021-07-29,3.2,3.2,2.75,2.75,5000,False,TRSM
2021-07-30,3.0,3.0,3.0,3.0,1000,False,TRSM
2021-08-02,3.1,3.1,2.71,3.0,9000,False,TRSM
2021-08-03,3.0,3.0,3.0,3.0,500,False,TRSM
2021-08-05,2.81,4.0,2.8,3.54,172000,False,TRSM
2021-08-06,3.2,3.69,3.2,3.44,146000,False,TRSM
2021-08-09,3.25,3.3,3.24,3.27,43500,False,TRSM
2021-08-10,3.0,3.27,3.0,3.2,10500,False,TRSM
2021-08-11,3.22,3.22,2.56,3.09,14000,False,TRSM
2021-08-12,3.0,3.0,3.0,3.0,500,False,TRSM
2021-08-13,3.0,3.29,2.92,3.16,5500,False,TRSM
2021-08-20,2.9,2.9,2.9,2.9,500,False,TRSM
2021-08-23,3.09,3.8,3.09,3.6,14500,False,TRSM
2021-08-24,0.0,3.6,3.6,3.6,500,True,TRSM
2021-08-25,3.5,3.58,3.3,3.33,54000,False,TRSM
2021-08-26,3.3,3.3,3.28,3.28,1500,False,TRSM
2021-09-02,3.28,3.28,3.17,3.17,1500,False,TRSM
2021-09-07,3.05,3.05,3.0,3.03,1500,False,TRSM
2021-09-09,3.15,3.15,3.15,3.15,1000,False,TRSM
2021-09-10,3.15,3.15,3.15,3.15,3000,False,TRSM
2021-09-13,2.99,3.14,2.6,3.14,15000,False,TRSM
2021-09-14,3.14,3.25,3.0,3.0,16000,False,TRSM
2021-09-15,3.0,3.2,2.53,3.0,14500,False,TRSM
2021-09-16,2.98,2.98,2.98,2.98,17500,False,TRSM
2021-09-17,3.05,3.1,2.99,3.06,15000,False,TRSM
2021-09-21,3.1,3.1,3.09,3.09,10500,False,TRSM
2021-09-22,2.8,2.95,2.79,2.95,14000,False,TRSM
2021-09-23,2.95,2.95,2.95,2.95,500,False,TRSM
2021-09-24,2.99,2.99,2.99,2.99,2000,False,TRSM
2021-09-27,2.6,2.6,2.4,2.6,4000,False,TRSM
2021-09-28,2.6,2.7,2.6,2.7,3500,False,TRSM
2021-09-29,2.7,2.7,2.7,2.7,1000,False,TRSM
2021-09-30,2.8,2.8,2.8,2.8,500,False,TRSM
2021-10-08,2.9,2.9,2.9,2.9,500,False,TRSM
2021-10-11,3.0,3.0,2.81,2.81,1000,False,TRSM
2021-10-25,0.0,0.0,0.0,2.81,0,True,TRSM
2021-10-28,2.6,2.6,2.6,2.6,1000,False,TRSM
2021-10-29,0.0,0.0,0.0,2.6,0,True,TRSM
2021-11-01,2.4,3.25,2.4,3.25,12000,False,TRSM
2021-11-04,2.8,2.95,2.8,2.95,5000,False,TRSM
2021-11-05,2.95,2.95,2.72,2.72,1000,False,TRSM
2021-11-08,2.75,2.75,2.55,2.7,27000,False,TRSM
2021-11-12,2.7,2.7,2.7,2.7,3000,False,TRSM
2021-11-29,2.7,2.7,2.45,2.45,3000,False,TRSM
2021-12-01,2.66,2.8,2.66,2.7,7000,False,TRSM
2021-12-08,2.31,2.48,2.0,2.11,12500,False,TRSM
2021-12-20,2.0,2.2,2.0,2.2,1000,False,TRSM
2021-12-21,2.15,2.43,2.1,2.43,50500,False,TRSM
2021-12-22,2.49,2.83,2.49,2.64,3500,False,TRSM
2021-12-23,2.3,2.68,2.25,2.59,23500,False,TRSM
2021-12-27,2.22,2.5,2.22,2.49,8000,False,TRSM
2021-12-30,2.47,2.48,2.47,2.48,6500,False,TRSM
2022-01-05,2.3,2.3,2.3,2.3,3500,False,TRSM
2022-01-06,2.3,2.3,2.3,2.3,3500,False,TRSM
2022-01-07,2.79,2.8,2.4,2.4,3000,False,TRSM
2022-01-10,2.4,2.4,2.4,2.4,3000,False,TRSM
2022-01-13,2.41,2.41,2.41,2.41,3000,False,TRSM
2022-01-17,2.5,2.5,2.41,2.5,10000,False,TRSM
2022-01-19,2.6,2.97,2.6,2.87,5500,False,TRSM
2022-01-28,2.4,2.4,2.4,2.4,500,False,TRSM
2022-01-31,2.7,2.7,2.7,2.7,1000,False,TRSM
2022-02-02,2.8,2.8,2.8,2.8,500,False,TRSM
2022-02-04,2.22,2.8,2.22,2.22,1000,False,TRSM
2022-02-18,2.5,2.5,2.5,2.5,4000,False,TRSM
2022-02-21,2.6,2.72,2.36,2.36,5000,False,TRSM
2022-03-04,2.44,2.45,2.44,2.45,2500,False,TRSM
2022-03-22,2.25,2.25,2.25,2.25,2500,False,TRSM
2022-04-01,2.8,2.8,2.4,2.4,1500,False,TRSM
2022-04-14,2.1,2.1,2.1,2.1,2500,False,TRSM
2022-04-19,2.0,2.85,2.0,2.25,11500,False,TRSM
2022-04-21,2.4,2.4,2.4,2.4,1000,False,TRSM
2022-04-27,2.0,2.4,2.0,2.4,1000,False,TRSM
2022-04-28,2.0,2.0,2.0,2.0,500,False,TRSM
2022-05-12,1.5,1.7,1.13,1.7,16000,False,TRSM
2022-05-13,1.8,1.8,1.8,1.8,500,False,TRSM
2022-05-19,1.5,1.66,1.36,1.66,2500,False,TRSM
2022-05-26,1.7,1.7,1.51,1.51,13500,False,TRSM
2022-06-02,1.52,1.52,1.52,1.52,1500,False,TRSM
2022-06-09,2.0,2.0,2.0,2.0,3000,False,TRSM
2022-06-15,2.0,2.0,1.53,1.82,4500,False,TRSM
2022-06-16,1.82,1.82,1.82,1.82,500,False,TRSM
2022-06-23,1.95,1.95,1.95,1.95,2000,False,TRSM
2022-07-14,1.9,1.9,1.9,1.9,500,False,TRSM
2022-08-03,1.61,1.61,1.61,1.61,500,False,TRSM
2022-08-04,1.05,1.61,1.05,1.61,2000,False,TRSM
2022-08-10,1.94,1.94,1.94,1.94,500,False,TRSM
2022-08-11,1.51,1.92,1.51,1.9,2500,False,TRSM
2022-08-12,1.61,1.8,1.51,1.8,2500,False,TRSM
