date,open,high,low,close,volume,is_anomaly,ticker
2021-04-28,4.51,4.51,4.51,4.51,5000,False,TSMF
2021-04-29,3.7,5.39,3.55,4.85,3500,False,TSMF
2021-04-30,4.98,5.0,4.98,5.0,5000,False,TSMF
2021-05-18,4.05,4.5,4.05,4.45,11000,False,TSMF
2021-05-20,4.13,4.13,4.13,4.13,500,False,TSMF
2021-05-24,4.84,4.84,4.84,4.84,1000,False,TSMF
2021-05-25,4.89,5.47,4.89,5.46,8500,False,TSMF
2021-05-26,5.0,5.0,5.0,5.0,1000,False,TSMF
2021-05-27,4.35,4.9,4.12,4.9,8000,False,TSMF
2021-05-28,4.9,5.0,4.56,4.65,3500,False,TSMF
2021-05-31,4.95,5.65,4.95,5.65,39000,False,TSMF
2021-06-01,5.21,5.21,5.21,5.21,500,False,TSMF
2021-06-02,5.8,6.0,5.5,6.0,6000,False,TSMF
2021-06-09,6.0,6.0,5.5,5.5,2500,False,TSMF
2021-06-11,5.0,5.88,5.0,5.32,10500,False,TSMF
2021-06-14,5.4,5.5,5.15,5.15,10500,False,TSMF
2021-06-15,5.4,6.0,5.4,5.85,7500,False,TSMF
2021-06-16,5.0,5.85,5.0,5.84,6000,False,TSMF
2021-06-17,5.5,5.5,5.5,5.5,1500,False,TSMF
2021-06-23,5.36,6.1,5.36,6.1,2000,False,TSMF
2021-06-24,6.0,6.0,6.0,6.0,1500,False,TSMF
2021-06-25,6.0,6.0,6.0,6.0,1000,False,TSMF
2021-07-02,6.66,7.0,6.65,7.0,85000,False,TSMF
2021-07-05,7.0,7.0,6.25,6.26,1500,False,TSMF
2021-07-06,6.26,6.95,6.26,6.95,5000,False,TSMF
2021-07-08,6.95,6.95,6.95,6.95,2000,False,TSMF
2021-07-09,7.5,7.5,6.5,6.8,4000,False,TSMF
2021-07-12,6.25,7.43,5.81,6.45,5500,False,TSMF
2021-07-13,6.0,6.89,6.0,6.89,1500,False,TSMF
2021-07-14,6.89,6.89,6.85,6.89,4500,False,TSMF
2021-07-15,6.26,6.5,6.26,6.26,4000,False,TSMF
2021-07-16,6.3,7.2,6.3,6.99,12000,False,TSMF
2021-07-19,6.2,6.2,6.2,6.2,500,False,TSMF
2021-07-23,6.1,6.5,6.1,6.5,1000,False,TSMF
2021-07-26,6.5,6.5,6.5,6.5,1000,False,TSMF
2021-07-27,6.06,6.55,6.06,6.52,4500,False,TSMF
2021-07-28,6.68,6.68,6.68,6.68,500,False,TSMF
2021-07-29,6.01,7.49,6.01,7.21,4500,False,TSMF
2021-07-30,6.8,6.8,6.8,6.8,500,False,TSMF
2021-08-02,7.0,7.8,7.0,7.8,38000,False,TSMF
2021-08-03,7.3,7.8,7.09,7.55,42500,False,TSMF
2021-08-04,8.25,8.55,8.0,8.55,60000,False,TSMF
2021-08-05,9.0,9.0,8.5,8.51,49500,False,TSMF
2021-08-06,8.85,8.85,8.35,8.35,3500,False,TSMF
2021-08-09,8.45,8.45,8.05,8.45,2500,False,TSMF
2021-08-10,8.4,8.75,7.75,7.75,2000,False,TSMF
2021-08-11,7.7,8.0,7.7,7.95,3500,False,TSMF
