date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,163.99,164.0,163.99,163.99,300,False,TSML
2021-04-27,176.28,176.28,176.28,176.28,200,False,TSML
2021-04-28,188.99,188.99,188.99,188.99,200,False,TSML
2021-04-29,197.99,198.0,197.99,198.0,1200,False,TSML
2021-04-30,212.8,212.8,183.15,183.15,600,False,TSML
2021-05-03,189.99,189.99,170.5,189.5,600,False,TSML
2021-05-04,202.5,202.5,175.29,188.74,700,False,TSML
2021-05-05,202.0,202.0,174.6,182.19,1000,False,TSML
2021-05-06,195.0,195.0,195.0,195.0,200,False,TSML
2021-05-17,181.0,191.9,180.38,180.38,4900,False,TSML
2021-05-18,166.86,167.3,166.86,167.01,300,False,TSML
2021-05-19,155.95,156.0,155.95,155.97,300,False,TSML
2021-05-20,145.1,145.1,145.1,145.1,200,False,TSML
2021-05-21,136.5,136.5,136.5,136.5,200,False,TSML
2021-05-24,135.0,136.5,135.0,135.75,200,False,TSML
2021-05-25,126.0,140.0,126.0,130.67,300,False,TSML
2021-05-28,0.0,0.0,0.0,140.47,0,True,TSML
2021-05-31,129.94,151.0,129.94,151.0,700,False,TSML
2021-06-01,139.81,162.0,139.81,140.2,600,False,TSML
2021-06-04,132.25,132.25,132.25,132.25,200,False,TSML
2021-06-07,142.16,142.16,142.16,132.25,100,True,TSML
2021-06-08,0.0,0.0,0.0,133.5,0,True,TSML
2021-06-10,0.0,0.0,0.0,133.7,0,True,TSML
2021-06-11,0.0,0.0,0.0,133.8,0,True,TSML
2021-06-14,143.83,143.83,143.83,143.83,500,False,TSML
2021-06-15,154.0,154.61,154.0,154.61,600,False,TSML
2021-06-16,143.1,165.9,143.1,165.0,1300,False,TSML
2021-06-17,154.01,167.0,154.01,158.34,300,False,TSML
2021-06-18,147.0,147.0,147.0,147.0,200,False,TSML
2021-06-21,158.0,158.0,158.0,158.0,300,False,TSML
2021-06-22,146.2,146.2,146.2,146.2,200,False,TSML
2021-06-23,150.0,150.0,150.0,150.0,100,False,TSML
2021-06-24,160.0,161.0,150.15,150.15,500,False,TSML
2021-06-25,157.0,161.41,157.0,159.94,1300,False,TSML
2021-06-28,171.0,171.9,171.0,171.9,500,False,TSML
2021-06-30,175.0,179.99,175.0,179.99,300,False,TSML
2021-07-02,189.99,189.99,189.99,189.99,200,False,TSML
2021-07-05,198.99,198.99,198.99,198.99,200,False,TSML
2021-07-06,0.0,0.0,0.0,196.44,0,True,TSML
2021-07-07,0.0,0.0,0.0,192.57,0,True,TSML
2021-07-08,199.99,199.99,198.5,198.5,6000,False,TSML
2021-07-12,0.0,0.0,0.0,188.01,0,True,TSML
2021-07-13,197.9,197.9,197.9,197.9,200,False,TSML
2021-07-14,0.0,0.0,0.0,190.76,0,True,TSML
2021-07-15,176.45,176.45,176.45,190.76,700,True,TSML
2021-07-19,176.46,176.46,176.46,176.46,2500,False,TSML
2021-07-23,163.23,163.23,163.23,163.23,200,False,TSML
2021-07-26,160.0,160.0,151.1,154.07,400,False,TSML
2021-07-27,143.3,165.5,143.3,150.7,300,False,TSML
2021-07-28,140.0,140.0,140.0,140.0,300,False,TSML
2021-07-30,150.5,150.5,150.5,140.0,100,True,TSML
2021-08-03,150.5,150.5,150.5,150.5,800,False,TSML
2021-08-05,0.0,0.0,0.0,161.78,0,True,TSML
2021-08-06,149.65,149.65,149.65,149.65,200,False,TSML
2021-08-10,160.0,160.0,160.0,160.0,200,False,TSML
2021-08-12,171.0,172.0,171.0,171.5,200,False,TSML
2021-08-16,183.99,183.99,183.9,183.95,200,False,TSML
2021-08-17,0.0,0.0,0.0,182.5,0,True,TSML
2021-08-20,195.7,195.7,190.0,193.8,300,False,TSML
2021-08-23,179.27,196.45,179.27,196.45,400,False,TSML
2021-08-26,0.0,0.0,0.0,195.67,0,True,TSML
2021-08-27,181.0,181.0,181.0,181.0,1200,False,TSML
2021-08-30,167.43,167.43,167.43,167.43,500,False,TSML
2021-08-31,155.01,155.01,155.01,155.01,200,False,TSML
2021-09-01,155.1,155.1,143.41,143.41,300,False,TSML
2021-09-03,154.0,143.41,132.67,132.67,300,True,TSML
2021-09-06,142.62,142.62,142.62,142.62,500,False,TSML
2021-09-07,153.31,153.31,153.31,153.31,1000,False,TSML
2021-09-08,164.8,164.8,164.8,164.8,200,False,TSML
2021-09-09,169.79,169.79,169.79,169.79,200,False,TSML
2021-09-10,0.0,0.0,0.0,169.0,0,True,TSML
2021-09-20,164.99,169.0,164.99,169.0,200,False,TSML
2021-09-29,156.33,156.33,156.33,169.0,100,True,TSML
2021-10-01,181.0,181.0,181.0,181.0,200,False,TSML
2021-10-05,167.43,167.43,167.43,167.43,600,False,TSML
2021-10-06,174.98,174.98,174.98,174.98,200,False,TSML
2021-10-08,188.0,188.0,188.0,188.0,200,False,TSML
2021-10-12,201.0,201.0,201.0,201.0,200,False,TSML
2021-10-21,0.0,0.0,0.0,199.32,0,True,TSML
