date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,5.69,5.69,5.5,5.5,25500,False,TSPL
2021-04-27,5.5,5.5,5.5,5.5,31500,False,TSPL
2021-04-28,5.7,5.99,5.7,5.9,10000,False,TSPL
2021-04-29,5.62,5.68,5.51,5.53,61000,False,TSPL
2021-04-30,5.5,5.63,5.35,5.51,5000,False,TSPL
2021-05-03,5.45,5.45,5.35,5.35,5500,False,TSPL
2021-05-04,5.35,5.4,5.1,5.36,48500,False,TSPL
2021-05-05,5.4,6.0,5.3,5.4,172500,False,TSPL
2021-05-06,5.4,5.4,5.27,5.4,1500,False,TSPL
2021-05-17,5.39,6.07,5.39,5.84,162500,False,TSPL
2021-05-18,5.64,5.98,5.5,5.75,98500,False,TSPL
2021-05-19,5.65,5.85,5.62,5.85,21000,False,TSPL
2021-05-20,5.7,5.83,5.63,5.79,35500,False,TSPL
2021-05-21,5.8,6.2,5.72,5.96,265000,False,TSPL
2021-05-24,5.99,6.1,5.81,5.99,35500,False,TSPL
2021-05-25,6.0,6.0,5.71,5.8,88500,False,TSPL
2021-05-26,5.8,5.88,5.7,5.72,76000,False,TSPL
2021-05-27,5.67,6.0,5.51,5.64,1324500,False,TSPL
2021-05-28,5.53,5.63,5.3,5.37,234500,False,TSPL
2021-05-31,5.45,6.37,5.43,6.19,701000,False,TSPL
2021-06-01,6.3,6.3,5.19,5.52,1241500,False,TSPL
2021-06-02,5.68,5.8,5.56,5.64,152000,False,TSPL
2021-06-03,5.6,5.79,5.54,5.56,75000,False,TSPL
2021-06-04,5.58,6.56,5.5,6.48,1726500,False,TSPL
2021-06-07,6.65,7.15,6.5,6.66,857000,False,TSPL
2021-06-08,6.95,6.95,6.39,6.56,183500,False,TSPL
2021-06-09,6.42,6.42,6.28,6.3,27500,False,TSPL
2021-06-10,6.5,6.5,6.0,6.35,117000,False,TSPL
2021-06-11,6.35,7.18,6.16,6.91,994500,False,TSPL
2021-06-14,7.16,7.16,6.26,6.43,503500,False,TSPL
2021-06-15,6.35,6.78,6.25,6.4,193000,False,TSPL
2021-06-16,6.2,7.03,6.2,6.93,727000,False,TSPL
2021-06-17,6.65,6.9,6.39,6.58,303000,False,TSPL
2021-06-18,6.36,6.58,6.3,6.56,78500,False,TSPL
2021-06-21,6.5,6.6,6.27,6.34,116000,False,TSPL
2021-06-22,6.55,6.85,6.51,6.53,156500,False,TSPL
2021-06-23,6.5,6.72,6.4,6.53,82000,False,TSPL
2021-06-24,6.71,6.75,6.45,6.72,235500,False,TSPL
2021-06-25,6.51,6.85,6.5,6.68,81500,False,TSPL
2021-06-28,6.53,6.7,6.45,6.48,103500,False,TSPL
2021-06-29,6.5,6.5,6.42,6.44,77500,False,TSPL
2021-06-30,6.5,7.44,6.5,6.87,1275000,False,TSPL
2021-07-01,6.82,7.59,6.65,7.23,389500,False,TSPL
2021-07-02,7.1,7.29,6.82,6.99,250000,False,TSPL
