date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,14.02,14.24,14.02,14.24,8000,False,UBLPETF
2021-04-27,14.4,14.4,14.22,14.22,3500,False,UBLPETF
2021-04-29,0.0,0.0,0.0,14.21,0,True,UBLPETF
2021-04-30,13.9,13.9,13.9,13.9,500,False,UBLPETF
2021-05-04,14.17,14.22,14.17,14.21,6000,False,UBLPETF
2021-05-05,14.34,14.34,13.97,13.97,2500,False,UBLPETF
2021-05-06,14.05,14.05,14.05,14.05,500,False,UBLPETF
2021-05-17,14.36,14.5,14.35,14.5,9500,False,UBLPETF
2021-05-18,14.64,14.65,14.64,14.65,1500,False,UBLPETF
2021-05-19,14.37,14.74,14.37,14.74,2000,False,UBLPETF
2021-05-20,14.67,14.67,14.63,14.63,4000,False,UBLPETF
2021-05-21,14.6,14.6,14.6,14.6,1000,False,UBLPETF
2021-05-24,14.7,14.75,14.7,14.75,3000,False,UBLPETF
2021-05-25,14.7,14.7,14.7,14.7,14000,False,UBLPETF
2021-05-26,14.72,14.78,14.63,14.78,3500,False,UBLPETF
2021-05-27,14.96,14.96,14.96,14.96,1500,False,UBLPETF
2021-05-28,14.89,14.99,14.89,14.99,10000,False,UBLPETF
2021-05-31,14.98,15.08,14.92,15.08,9500,False,UBLPETF
2021-06-01,0.0,15.08,15.08,15.08,271000,True,UBLPETF
2021-06-02,15.14,15.24,15.14,15.24,2500,False,UBLPETF
2021-06-03,14.93,15.0,14.88,15.0,1500,False,UBLPETF
2021-06-04,15.1,15.15,15.1,15.15,6000,False,UBLPETF
2021-06-07,15.15,15.15,15.15,15.15,500,False,UBLPETF
2021-06-08,0.0,0.0,0.0,15.09,0,True,UBLPETF
2021-06-09,14.98,14.98,14.98,14.98,500,False,UBLPETF
2021-06-10,14.98,14.98,14.98,14.98,2500,False,UBLPETF
2021-06-14,14.86,14.86,14.86,14.86,500,False,UBLPETF
2021-06-16,14.88,14.88,14.86,14.86,12500,False,UBLPETF
2021-06-18,14.82,14.82,14.82,14.82,500,False,UBLPETF
2021-06-21,15.93,15.93,14.7,14.7,1500,False,UBLPETF
2021-06-22,14.85,14.85,14.5,14.54,2500,False,UBLPETF
2021-06-23,14.61,14.61,14.61,14.61,500,False,UBLPETF
2021-06-24,14.5,14.5,13.89,14.09,8500,False,UBLPETF
2021-06-25,14.5,14.5,14.5,14.5,5000,False,UBLPETF
2021-06-28,14.2,14.5,14.2,14.5,5000,False,UBLPETF
2021-06-30,14.05,14.05,14.05,14.05,10000,False,UBLPETF
2021-07-01,13.68,13.68,13.68,13.68,2000,False,UBLPETF
2021-07-05,13.89,13.89,13.64,13.64,3500,False,UBLPETF
2021-07-06,13.91,13.91,13.63,13.91,11500,False,UBLPETF
2021-07-07,13.6,13.6,13.6,13.6,1500,False,UBLPETF
2021-07-12,0.0,0.0,0.0,13.61,0,True,UBLPETF
2021-07-13,0.0,13.61,13.61,13.61,500,True,UBLPETF
