date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,99.63,0,True,UBLTFC5
2021-12-30,0.0,99.63,99.63,99.63,4000,True,UBLTFC5
2022-03-25,0.0,99.63,99.63,99.63,15200,True,UBLTFC5
2022-06-01,0.0,100.7,100.0,100.35,80000,True,UBLTFC5
2022-06-02,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-03,0.0,100.35,100.35,100.35,40000,True,UBLTFC5
2022-06-06,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-07,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-08,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-09,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-10,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-13,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-14,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-15,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-16,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-17,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-20,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-21,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-22,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-23,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-24,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-27,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-28,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-29,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-06-30,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-07-01,0.0,0.0,0.0,100.35,0,True,UBLTFC5
2022-08-15,0.0,100.35,100.35,100.35,800,True,UBLTFC5
2022-09-30,0.0,100.35,100.35,100.35,1300,True,UBLTFC5
2022-11-24,0.0,100.35,100.35,100.35,1600,True,UBLTFC5
2022-12-26,0.0,100.35,100.35,100.35,4800,True,UBLTFC5
2023-04-18,0.0,100.35,100.35,100.35,2000,True,UBLTFC5
2023-11-15,85.0,86.0,85.0,85.56,9000,False,UBLTFC5
2023-11-16,98.0,98.0,98.0,98.0,9000,False,UBLTFC5
2023-11-17,0.0,0.0,0.0,97.9,0,True,UBLTFC5
2023-11-20,0.0,0.0,0.0,97.55,2000,True,UBLTFC5
2023-11-21,0.0,0.0,0.0,97.15,0,True,UBLTFC5
2023-11-22,0.0,0.0,0.0,96.7,0,True,UBLTFC5
2023-11-23,0.0,0.0,0.0,96.17,0,True,UBLTFC5
2023-11-24,0.0,0.0,0.0,95.58,0,True,UBLTFC5
2023-11-27,0.0,0.0,0.0,97.01,0,True,UBLTFC5
2023-11-28,0.0,0.0,0.0,96.87,0,True,UBLTFC5
2023-11-29,0.0,0.0,0.0,96.72,0,True,UBLTFC5
2023-11-30,0.0,0.0,0.0,96.6,0,True,UBLTFC5
2023-12-01,0.0,0.0,0.0,96.52,10700,True,UBLTFC5
2023-12-04,0.0,0.0,0.0,96.49,0,True,UBLTFC5
2023-12-05,0.0,0.0,0.0,96.54,0,True,UBLTFC5
2023-12-06,0.0,0.0,0.0,96.68,0,True,UBLTFC5
2023-12-07,0.0,0.0,0.0,96.63,0,True,UBLTFC5
2023-12-08,0.0,0.0,0.0,96.6,0,True,UBLTFC5
2023-12-11,0.0,0.0,0.0,96.58,0,True,UBLTFC5
2023-12-12,0.0,0.0,0.0,96.58,0,True,UBLTFC5
2023-12-13,0.0,0.0,0.0,96.58,0,True,UBLTFC5
2023-12-14,0.0,0.0,0.0,96.6,0,True,UBLTFC5
2023-12-15,0.0,0.0,0.0,96.61,0,True,UBLTFC5
2023-12-18,0.0,0.0,0.0,96.6,0,True,UBLTFC5
2023-12-19,0.0,0.0,0.0,96.59,0,True,UBLTFC5
2023-12-20,0.0,0.0,0.0,96.59,0,True,UBLTFC5
2023-12-21,0.0,0.0,0.0,96.59,0,True,UBLTFC5
2023-12-22,0.0,0.0,0.0,96.59,8675,True,UBLTFC5
2023-12-26,100.0,100.0,100.0,100.0,50000,False,UBLTFC5
2023-12-27,100.04,100.04,100.04,100.04,50000,False,UBLTFC5
2023-12-28,0.0,0.0,0.0,97.57,0,True,UBLTFC5
2023-12-29,0.0,0.0,0.0,97.71,0,True,UBLTFC5
2024-01-01,0.0,0.0,0.0,97.87,0,True,UBLTFC5
2024-01-02,0.0,0.0,0.0,98.05,0,True,UBLTFC5
2024-01-03,0.0,0.0,0.0,98.26,0,True,UBLTFC5
2024-01-04,0.0,0.0,0.0,98.5,0,True,UBLTFC5
2024-01-05,0.0,0.0,0.0,98.29,0,True,UBLTFC5
2024-01-08,0.0,0.0,0.0,98.04,5600,True,UBLTFC5
2024-01-09,0.0,0.0,0.0,98.1,0,True,UBLTFC5
2024-01-10,0.0,0.0,0.0,98.16,0,True,UBLTFC5
2024-01-11,0.0,0.0,0.0,98.2,0,True,UBLTFC5
2024-01-12,0.0,0.0,0.0,98.22,0,True,UBLTFC5
2024-01-15,0.0,0.0,0.0,98.22,0,True,UBLTFC5
2024-01-16,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-01-17,0.0,0.0,0.0,98.16,3800,True,UBLTFC5
2024-01-18,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-01-19,0.0,0.0,0.0,98.19,0,True,UBLTFC5
2024-01-22,0.0,0.0,0.0,98.19,0,True,UBLTFC5
2024-01-23,0.0,0.0,0.0,98.19,0,True,UBLTFC5
2024-01-24,0.0,0.0,0.0,98.19,0,True,UBLTFC5
2024-01-25,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-01-26,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-01-29,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-01-30,0.0,0.0,0.0,98.19,0,True,UBLTFC5
2024-01-31,0.0,0.0,0.0,98.19,0,True,UBLTFC5
2024-02-01,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-02,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-06,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-07,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-09,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-13,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-14,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-15,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-16,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-19,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-22,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-02-27,0.0,0.0,0.0,98.18,1480,True,UBLTFC5
2024-03-13,0.0,0.0,0.0,98.18,12501,True,UBLTFC5
2024-08-28,0.0,0.0,0.0,98.18,13400,True,UBLTFC5
2024-08-30,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-02,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-03,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-04,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-05,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-06,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-09,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-10,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-11,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-12,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-13,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-16,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-18,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-19,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-20,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-23,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-24,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-25,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-09-26,0.0,0.0,0.0,98.18,0,True,UBLTFC5
2024-10-01,0.0,0.0,0.0,98.18,2400,True,UBLTFC5
2024-12-19,0.0,0.0,0.0,98.18,2400,True,UBLTFC5
2025-03-12,0.0,0.0,0.0,98.18,10000,True,UBLTFC5
2025-10-14,0.0,0.0,0.0,98.18,4000,True,UBLTFC5
2025-11-05,91.0,91.0,91.0,91.0,50000,False,UBLTFC5
2025-11-06,91.0,91.0,91.0,91.0,280000,False,UBLTFC5
2025-12-26,0.0,0.0,0.0,91.0,2600,True,UBLTFC5
2026-01-14,100.0,100.0,100.0,91.0,20,True,UBLTFC5
2026-02-24,100.0,100.0,100.0,100.0,10000,False,UBLTFC5
2026-03-02,0.0,0.0,0.0,100.0,8419,True,UBLTFC5
2026-04-09,0.0,0.0,0.0,100.0,41900,True,UBLTFC5
