date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,3.1,4.1,3.1,4.0,8500,False,UVIC
2021-04-28,3.52,3.52,3.52,3.52,3000,False,UVIC
2021-04-29,3.75,3.75,3.75,3.75,3000,False,UVIC
2021-04-30,3.75,3.75,3.75,3.75,3000,False,UVIC
2021-05-24,4.5,4.74,4.0,4.49,6500,False,UVIC
2021-05-26,3.5,4.49,3.5,4.2,17500,False,UVIC
2021-05-27,4.05,4.05,4.0,4.0,5000,False,UVIC
2021-05-28,4.0,4.0,4.0,4.0,5500,False,UVIC
2021-05-31,4.24,4.25,4.0,4.25,7000,False,UVIC
2021-06-01,4.0,4.05,4.0,4.03,15000,False,UVIC
2021-06-02,4.2,4.72,4.03,4.11,78000,False,UVIC
2021-06-03,4.4,5.11,4.15,5.11,247500,False,UVIC
2021-06-04,6.0,6.09,5.31,5.53,194500,False,UVIC
2021-06-07,6.29,6.29,5.55,5.77,166500,False,UVIC
2021-06-08,5.61,5.72,5.5,5.61,45500,False,UVIC
2021-06-09,5.96,5.96,5.21,5.23,24500,False,UVIC
2021-06-10,5.25,5.25,5.24,5.24,25500,False,UVIC
2021-06-11,4.71,5.7,4.71,5.53,144000,False,UVIC
2021-06-14,5.94,6.48,5.94,6.11,112000,False,UVIC
2021-06-15,6.0,6.2,5.69,5.7,129000,False,UVIC
2021-06-16,5.95,5.95,5.55,5.61,110500,False,UVIC
2021-06-17,6.15,6.15,5.99,5.99,12500,False,UVIC
2021-06-18,5.06,5.99,5.06,5.94,12500,False,UVIC
2021-06-21,6.44,6.44,5.99,5.99,1500,False,UVIC
2021-06-22,5.5,5.98,5.35,5.98,15000,False,UVIC
2021-06-23,5.32,5.98,5.3,5.35,6500,False,UVIC
2021-06-24,5.02,6.35,5.0,6.35,186000,False,UVIC
2021-06-25,7.34,7.35,6.5,6.95,85000,False,UVIC
2021-06-28,7.22,7.22,6.0,6.0,2000,False,UVIC
2021-06-29,6.75,6.75,6.0,6.64,20500,False,UVIC
2021-06-30,6.5,6.5,5.85,5.94,43500,False,UVIC
2021-07-01,6.39,6.39,5.8,5.83,88000,False,UVIC
2021-07-02,6.0,6.83,6.0,6.38,201500,False,UVIC
2021-07-05,6.95,6.95,6.23,6.23,14500,False,UVIC
2021-07-06,6.85,6.85,6.23,6.5,26500,False,UVIC
2021-07-07,6.01,6.35,6.01,6.35,7000,False,UVIC
2021-07-08,5.77,7.0,5.76,6.95,57000,False,UVIC
2021-07-12,6.0,6.59,6.0,6.5,10000,False,UVIC
2021-07-13,0.0,6.5,6.5,6.5,500,True,UVIC
2021-07-14,6.05,6.75,6.02,6.75,5500,False,UVIC
2021-07-15,6.09,6.99,6.09,6.51,22500,False,UVIC
2021-07-19,6.16,6.75,6.16,6.75,2000,False,UVIC
2021-07-23,7.75,6.75,6.75,6.75,500,True,UVIC
2021-07-26,0.0,6.75,6.75,6.75,1000,True,UVIC
2021-07-30,7.75,7.75,6.8,7.0,2500,False,UVIC
2021-08-04,6.5,7.0,6.0,6.18,189000,False,UVIC
2021-08-05,6.18,6.36,6.17,6.33,46000,False,UVIC
2021-08-06,6.11,6.33,5.4,5.99,9000,False,UVIC
2021-08-09,5.11,5.55,5.11,5.52,3000,False,UVIC
2021-08-10,4.7,5.99,4.7,5.21,2000,False,UVIC
2021-08-12,5.2,5.2,5.2,5.2,500,False,UVIC
2021-08-13,4.72,5.8,5.2,5.76,4000,True,UVIC
2021-08-16,5.0,6.5,5.0,5.55,30500,False,UVIC
2021-08-17,5.4,6.0,5.4,6.0,1000,False,UVIC
2021-08-20,5.36,5.6,5.36,5.6,1500,False,UVIC
2021-08-23,5.75,5.76,5.75,5.76,1000,False,UVIC
2021-08-26,5.99,5.99,5.3,5.3,2000,False,UVIC
2021-08-27,5.0,5.0,5.0,5.0,1000,False,UVIC
2021-08-31,5.15,5.15,5.13,5.13,1000,False,UVIC
2021-09-02,5.69,5.69,4.78,5.58,3000,False,UVIC
2021-09-03,5.01,5.01,4.99,4.99,10000,False,UVIC
2021-09-06,5.03,5.03,5.02,5.03,4500,False,UVIC
2021-09-07,5.35,5.35,5.35,5.35,500,False,UVIC
2021-09-08,5.0,5.0,5.0,5.0,1000,False,UVIC
2021-09-13,4.77,5.0,4.77,5.0,3000,False,UVIC
2021-09-14,5.5,5.97,5.5,5.67,3500,False,UVIC
2021-09-16,5.1,5.1,5.08,5.08,1000,False,UVIC
2021-09-21,5.25,5.25,5.25,5.25,1000,False,UVIC
2021-09-23,4.55,4.55,4.53,4.53,1500,False,UVIC
2021-09-24,4.4,4.51,4.01,4.51,3500,False,UVIC
2021-09-27,4.31,4.31,4.31,4.31,2000,False,UVIC
2021-09-28,4.33,4.33,4.32,4.32,1000,False,UVIC
2021-09-29,4.6,4.6,4.6,4.6,500,False,UVIC
2021-10-01,4.9,4.95,4.9,4.95,1500,False,UVIC
2021-10-14,4.95,5.0,4.95,4.99,4500,False,UVIC
2021-10-15,5.88,5.88,5.88,5.88,5000,False,UVIC
2021-10-21,4.88,4.88,4.88,4.88,500,False,UVIC
