date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,156.5,162.99,154.0,157.67,418200,False,WAFI
2021-04-27,156.3,159.49,156.3,156.7,146300,False,WAFI
2021-04-28,157.89,158.3,153.01,154.08,204700,False,WAFI
2021-04-29,154.3,157.0,152.3,153.45,187700,False,WAFI
2021-04-30,154.49,154.5,150.05,150.8,192700,False,WAFI
2021-05-03,150.01,152.48,148.9,149.29,229100,False,WAFI
2021-05-04,150.01,151.4,149.91,150.22,143100,False,WAFI
2021-05-05,152.0,152.8,150.0,150.73,138700,False,WAFI
2021-05-06,151.5,154.9,150.31,153.29,178400,False,WAFI
2021-05-17,155.11,158.25,153.5,157.98,329200,False,WAFI
2021-05-18,158.01,162.5,157.72,160.86,500900,False,WAFI
2021-05-19,161.0,161.0,157.0,157.55,152300,False,WAFI
2021-05-20,157.69,158.2,154.5,154.91,297900,False,WAFI
2021-05-21,155.0,157.0,155.0,156.26,165000,False,WAFI
2021-05-24,157.45,158.4,156.6,156.92,177700,False,WAFI
2021-05-25,157.0,157.99,156.0,156.74,113700,False,WAFI
2021-05-26,157.4,158.0,156.5,157.8,198200,False,WAFI
2021-05-27,157.02,159.0,156.01,156.77,201400,False,WAFI
2021-05-28,157.8,164.99,156.55,163.06,829000,False,WAFI
2021-05-31,166.0,175.28,166.0,174.33,1530700,False,WAFI
2021-06-01,179.48,183.39,178.05,179.51,1719900,False,WAFI
2021-06-02,179.99,180.96,176.1,177.18,463300,False,WAFI
2021-06-03,177.9,183.5,177.0,182.59,1110200,False,WAFI
2021-06-04,183.0,184.5,181.01,182.7,415800,False,WAFI
2021-06-07,184.0,187.89,181.25,183.04,644100,False,WAFI
2021-06-08,183.25,191.0,183.04,185.5,1026100,False,WAFI
2021-06-09,187.49,188.0,178.32,179.94,458700,False,WAFI
2021-06-10,180.99,181.95,179.5,179.89,248800,False,WAFI
2021-06-11,180.59,181.5,178.5,179.21,211200,False,WAFI
2021-06-14,181.81,184.8,179.5,181.22,443600,False,WAFI
2021-06-15,181.25,182.5,180.0,180.69,236000,False,WAFI
2021-06-16,182.45,184.94,181.4,181.73,268800,False,WAFI
2021-06-17,181.15,181.9,179.5,180.03,198100,False,WAFI
2021-06-18,180.0,180.9,178.0,178.43,221900,False,WAFI
2021-06-21,178.55,179.94,177.0,177.16,105700,False,WAFI
2021-06-22,178.95,181.0,177.0,177.15,241500,False,WAFI
2021-06-23,177.5,178.4,176.92,177.2,131000,False,WAFI
2021-06-24,178.0,178.82,176.24,176.93,137600,False,WAFI
2021-06-25,177.88,178.4,176.0,176.65,154800,False,WAFI
2021-06-28,176.99,177.1,171.0,173.18,267400,False,WAFI
2021-06-29,173.1,175.0,173.1,174.0,156500,False,WAFI
2021-06-30,174.2,175.7,174.01,175.2,106000,False,WAFI
2021-07-01,175.98,184.1,175.98,181.6,594300,False,WAFI
2021-07-02,181.9,186.98,181.9,182.94,641800,False,WAFI
2021-07-05,182.89,185.0,180.11,181.14,463000,False,WAFI
2021-07-06,181.18,182.2,177.9,178.21,143800,False,WAFI
2021-07-07,178.0,178.0,173.2,174.79,204100,False,WAFI
2021-07-08,175.95,177.49,175.0,176.46,74300,False,WAFI
2021-07-09,176.46,176.8,174.11,174.48,69100,False,WAFI
2021-07-12,174.15,176.5,173.06,173.75,53800,False,WAFI
2021-07-13,173.5,174.98,173.0,173.22,73800,False,WAFI
2021-07-14,174.0,179.85,174.0,175.72,282700,False,WAFI
2021-07-15,177.0,177.0,174.5,175.16,128800,False,WAFI
2021-07-16,177.49,177.49,174.32,174.96,81500,False,WAFI
2021-07-19,177.0,177.0,173.95,174.2,144800,False,WAFI
2021-07-23,174.0,174.98,172.96,173.14,153600,False,WAFI
2021-07-26,174.98,174.98,172.0,172.1,184900,False,WAFI
2021-07-27,171.5,174.0,171.2,172.02,407400,False,WAFI
2021-07-28,172.98,172.98,167.15,168.02,126500,False,WAFI
2021-07-29,168.03,169.0,163.0,166.45,115800,False,WAFI
2021-07-30,165.1,167.45,163.0,163.31,59500,False,WAFI
2021-08-02,164.0,165.5,163.85,164.13,129500,False,WAFI
