date,open,high,low,close,volume,is_anomaly,ticker
2021-05-06,4.33,5.25,4.33,4.69,6907000,False,WAVESR1
2021-05-17,4.53,4.7,3.98,4.02,5861500,False,WAVESR1
2021-05-18,4.02,4.37,3.95,4.05,4542000,False,WAVESR1
2021-05-19,4.13,4.13,4.0,4.01,2225000,False,WAVESR1
2021-05-20,4.0,4.68,3.95,4.46,10654500,False,WAVESR1
2021-05-21,4.5,4.66,4.21,4.29,2433500,False,WAVESR1
2021-05-24,4.35,4.6,4.24,4.42,3924000,False,WAVESR1
2021-05-25,4.35,5.05,4.35,4.5,6076500,False,WAVESR1
2021-05-26,4.55,4.85,4.4,4.72,4458500,False,WAVESR1
2021-05-27,4.92,5.72,4.75,5.72,10247000,False,WAVESR1
2021-05-28,6.24,6.72,5.9,6.71,8310500,False,WAVESR1
