date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,1.56,1.63,1.51,1.54,21059000,False,WTL
2021-04-27,1.5,1.6,1.49,1.51,10903000,False,WTL
2021-04-28,1.58,1.58,1.48,1.5,12121000,False,WTL
2021-04-29,1.54,1.54,1.45,1.47,7879500,False,WTL
2021-04-30,1.5,1.5,1.38,1.4,13129500,False,WTL
2021-05-03,1.4,1.41,1.32,1.37,6925500,False,WTL
2021-05-04,1.37,1.5,1.37,1.48,8000500,False,WTL
2021-05-05,1.52,1.52,1.42,1.44,6537000,False,WTL
2021-05-06,1.49,1.68,1.41,1.53,80899500,False,WTL
2021-05-17,1.59,1.72,1.57,1.69,72917500,False,WTL
2021-05-18,1.72,1.72,1.61,1.67,49505500,False,WTL
2021-05-19,1.65,1.75,1.6,1.7,41826500,False,WTL
2021-05-20,1.7,1.81,1.66,1.76,77733000,False,WTL
2021-05-21,1.8,1.92,1.78,1.88,99480000,False,WTL
2021-05-24,1.95,2.25,1.93,2.14,275888000,False,WTL
2021-05-25,2.25,2.3,2.14,2.28,150346000,False,WTL
2021-05-26,2.35,3.28,2.32,3.22,707728500,False,WTL
2021-05-27,3.44,4.03,2.6,3.24,950273000,False,WTL
2021-05-28,3.0,3.24,2.81,3.0,381390000,False,WTL
2021-05-31,3.1,3.77,3.1,3.67,480613000,False,WTL
2021-06-01,3.85,3.93,3.5,3.59,354077000,False,WTL
2021-06-02,3.6,3.78,3.42,3.59,202682500,False,WTL
2021-06-03,3.68,3.76,3.52,3.56,134991000,False,WTL
2021-06-04,3.61,3.61,3.48,3.51,89041000,False,WTL
2021-06-07,3.54,3.66,3.45,3.5,80744500,False,WTL
2021-06-08,3.55,3.83,3.48,3.64,399964000,False,WTL
2021-06-09,3.73,4.49,3.7,4.22,716814000,False,WTL
2021-06-10,4.39,4.52,4.1,4.25,329074500,False,WTL
2021-06-11,4.38,4.45,4.17,4.22,120847500,False,WTL
2021-06-14,4.49,4.49,4.2,4.23,98041000,False,WTL
2021-06-15,4.25,4.28,3.9,3.97,147624000,False,WTL
2021-06-16,3.97,4.05,3.81,3.84,87346500,False,WTL
2021-06-17,3.78,4.26,3.71,4.01,243179500,False,WTL
2021-06-18,4.05,4.26,3.95,4.12,76462000,False,WTL
2021-06-21,4.19,4.21,3.95,4.0,58453500,False,WTL
2021-06-22,4.04,4.04,3.85,3.86,48194000,False,WTL
2021-06-23,3.82,4.02,3.82,3.86,41582500,False,WTL
2021-06-24,3.87,3.94,3.56,3.65,97547500,False,WTL
2021-06-25,3.62,4.07,3.62,3.95,142179500,False,WTL
2021-06-28,4.05,4.19,3.76,3.81,98862500,False,WTL
2021-06-29,3.95,4.01,3.87,3.91,55687000,False,WTL
2021-06-30,4.09,4.12,3.94,3.96,43244500,False,WTL
