date,open,high,low,close,volume,is_anomaly,ticker
2025-10-24,37.95,37.98,36.1,36.4,6859,False,ZUMA
2025-10-27,36.5,36.5,34.0,34.16,16408,False,ZUMA
2025-10-28,35.11,35.85,33.0,34.92,85059,False,ZUMA
2025-10-29,34.88,35.0,34.25,35.0,6277,False,ZUMA
2025-10-30,36.45,36.45,33.0,33.16,113413,False,ZUMA
2025-10-31,35.77,35.8,32.1,34.44,6295,False,ZUMA
2025-11-03,33.54,37.88,33.53,37.88,590125,False,ZUMA
2025-11-04,41.65,41.67,35.5,38.02,91001,False,ZUMA
2025-11-05,39.5,39.5,35.05,36.54,44070,False,ZUMA
2025-11-06,37.0,37.0,34.12,35.46,35921,False,ZUMA
2025-11-07,36.39,36.75,32.6,36.27,30579,False,ZUMA
2025-11-10,35.67,39.9,34.15,39.43,305008,False,ZUMA
2025-11-11,38.15,38.8,36.0,36.2,19798,False,ZUMA
2025-11-12,36.0,37.49,34.11,36.89,10369,False,ZUMA
2025-11-13,36.0,37.95,35.21,37.4,1786,False,ZUMA
2025-11-14,36.11,41.14,35.2,40.99,923116,False,ZUMA
2025-11-17,40.99,45.09,39.1,44.54,439742,False,ZUMA
2025-11-18,48.0,48.99,43.11,48.49,160048,False,ZUMA
2025-11-19,50.0,50.0,46.33,47.63,112303,False,ZUMA
2025-11-20,47.98,48.5,47.0,47.79,17846,False,ZUMA
2025-11-21,48.2,52.57,46.01,50.31,189688,False,ZUMA
2025-11-24,50.31,55.34,48.2,54.58,213712,False,ZUMA
2025-11-25,60.0,60.0,54.1,55.37,167146,False,ZUMA
2025-11-26,49.83,55.75,49.83,51.67,100555,False,ZUMA
2025-11-27,52.0,52.98,49.0,50.54,93826,False,ZUMA
2025-11-28,50.0,53.8,47.25,51.94,497026,False,ZUMA
2025-12-01,50.0,52.25,49.0,50.12,110270,False,ZUMA
2025-12-02,49.0,50.0,47.11,49.05,72839,False,ZUMA
2025-12-03,50.87,53.96,48.01,52.81,77901,False,ZUMA
2025-12-04,53.0,54.0,49.5,49.57,13309,False,ZUMA
2025-12-05,50.0,52.0,48.6,50.1,20857,False,ZUMA
2025-12-08,55.05,55.11,50.5,55.11,484688,False,ZUMA
2025-12-09,60.62,60.62,58.05,60.62,836222,False,ZUMA
2025-12-10,61.8,65.9,56.25,62.41,942664,False,ZUMA
2025-12-11,63.04,63.4,59.0,59.98,75448,False,ZUMA
2025-12-12,60.0,65.98,59.17,65.83,805966,False,ZUMA
2025-12-15,68.9,68.95,64.1,65.36,281757,False,ZUMA
2025-12-16,66.49,66.49,62.5,63.01,123514,False,ZUMA
2025-12-17,63.99,63.99,61.01,61.79,11601,False,ZUMA
2025-12-18,61.79,62.99,60.0,61.93,46588,False,ZUMA
2025-12-19,62.01,65.9,58.75,63.24,96435,False,ZUMA
2025-12-22,62.98,63.0,60.25,61.01,8253,False,ZUMA
2025-12-23,63.98,63.98,58.0,60.12,43063,False,ZUMA
2025-12-24,58.35,66.13,57.0,63.25,1060240,False,ZUMA
2025-12-26,67.5,69.58,66.5,69.58,130055,False,ZUMA
2025-12-29,76.0,76.54,75.0,76.54,294861,False,ZUMA
2025-12-30,76.5,84.19,69.56,80.73,407965,False,ZUMA
2025-12-31,82.0,87.0,82.0,83.61,321925,False,ZUMA
2026-01-01,81.05,89.0,80.0,81.87,77585,False,ZUMA
2026-01-02,81.96,85.0,80.0,81.96,538666,False,ZUMA
2026-01-05,81.0,81.39,75.1,77.46,81438,False,ZUMA
2026-01-06,77.0,85.21,72.0,80.35,301740,False,ZUMA
2026-01-07,80.35,82.0,78.5,81.53,69928,False,ZUMA
2026-01-08,82.0,87.8,78.0,84.36,440824,False,ZUMA
2026-01-09,84.5,87.44,81.11,82.15,22325,False,ZUMA
2026-01-12,82.0,84.99,78.05,83.8,329793,False,ZUMA
2026-01-13,77.17,84.0,77.17,79.89,154934,False,ZUMA
2026-01-14,82.93,82.93,77.05,81.87,194433,False,ZUMA
2026-01-15,82.25,82.25,77.0,77.95,45709,False,ZUMA
2026-01-16,81.95,85.75,76.51,84.69,508654,False,ZUMA
2026-01-19,85.0,86.2,80.1,86.15,226634,False,ZUMA
2026-01-20,85.07,85.08,80.05,84.44,263745,False,ZUMA
2026-01-21,83.26,92.88,81.3,90.64,748832,False,ZUMA
2026-01-22,92.0,98.95,90.0,97.51,1069658,False,ZUMA
2026-01-23,100.8,103.9,93.01,98.22,501948,False,ZUMA
2026-01-26,95.0,99.0,93.0,95.76,440298,False,ZUMA
2026-01-27,96.98,100.0,93.0,97.7,619746,False,ZUMA
2026-01-28,97.75,98.0,91.6,94.61,732744,False,ZUMA
2026-01-29,94.02,94.99,85.51,89.14,386215,False,ZUMA
2026-01-30,89.8,91.5,80.5,86.2,334641,False,ZUMA
2026-02-02,89.0,91.99,80.0,86.12,584081,False,ZUMA
2026-02-03,87.14,87.14,81.25,84.3,164324,False,ZUMA
2026-02-04,80.27,87.45,80.27,86.13,242095,False,ZUMA
2026-02-06,87.98,87.98,84.0,86.9,21078,False,ZUMA
2026-02-09,89.98,89.98,82.98,83.11,51076,False,ZUMA
2026-02-10,86.88,86.88,80.0,82.92,39536,False,ZUMA
2026-02-11,84.0,84.9,80.6,83.31,261476,False,ZUMA
2026-02-12,84.43,84.43,79.5,81.71,335032,False,ZUMA
2026-02-13,83.14,83.14,77.05,81.56,53973,False,ZUMA
2026-02-16,78.1,81.83,73.4,73.4,766914,False,ZUMA
2026-02-17,73.72,80.74,67.0,76.29,633011,False,ZUMA
2026-02-18,76.3,78.0,70.1,76.59,248777,False,ZUMA
2026-02-19,72.51,74.5,68.93,70.74,55520,False,ZUMA
2026-02-20,68.0,72.0,63.67,69.7,374657,False,ZUMA
2026-02-23,65.1,66.49,62.73,62.73,346236,False,ZUMA
